"HABITAT_ASSESMENT_ID","HABITAT_SITE_ID","HABITAT_SITE_COMMON_NAME","HABITAT_ASSESMENT_DATE","HABITAT_ASSESMENT_TIME","ASSESMENT_EMPLOYEE_ID","ASSESMENT_EMPLOYEE_NAME","RBA","STREAM_DEPTH","STREAM_WIDTH","STREAM_FLOW","VELOCITY_DEPTH","EPIFAUNAL","EMBEDDEDNESS","SEDIMENT_DEPOSITION","CHANNEL_FLOW","CHANNEL_ALTERED","CHANNEL_SINUOSITY","FREQUENCY_RIFFLES","POOL_VARIABILITY","POOL_SUBSTRATE","BANK_VEG_LT","BANK_VEG_RT","BANK_STABILITY_LT","BANK_STABILITY_RT","RIPARIAN_VEG_LT","RIPARIAN_VEG_RT","ASSESMENT_COMMENTS","CREATE_DATE","MODIFY_EMPLOYEE_ID","MODIFY_DATE","ROWID"
"117","","new b","2003-07-16 00:00:00","1899-12-30 10:52:00","","Tamara Elliot","NO ",".06","20.00","","4","1","3","4","4","5","5","5","5","5","5","5","8","8","1","1","Brown algae trash chlorine high","","","","{08C195F6-19B4-4774-B874-D975F792F5DB}"
"118","","new c","2003-07-16 00:00:00","1899-12-30 10:08:00","","Tamara Elliot","NO ",".03","15.00","","2","1","2","1","1","5","4","1","2","2","4","4","4","4","3","3","Creek impared by silt and debrie","","","","{7B377B26-3778-4EC9-BE93-7D90E2C875EE}"
"119","","art a","2003-07-22 00:00:00","1899-12-30 11:34:00","","Cesar Cavazos","NO ",".50","6.00","","3","7","6","7","3","7","","1","","","4","4","5","5","7","7","Very low.","","","","{29C2682E-3D38-4CCB-BC9B-39E9BB3F8614}"
"120","","ogu b","2003-07-22 00:00:00","1899-12-30 11:01:00","","Cesar Cavazos","NO ","1.50","15.00","","9","10","9","5","6","16","","9","","","5","5","4","4","5","5","","","","","{3CD023EE-BB5D-41F4-95D8-7E060C9649D0}"
"121","","ogu a","2003-07-22 00:00:00","1899-12-30 10:32:00","","Cesar Cavazos","NO ","1.50","11.00","","9","15","9","7","5","9","","1","","","7","7","7","7","5","5","","","","","{940BAAE7-764C-4010-894E-B41622AF0313}"
"122","","lit b","2003-07-22 00:00:00","1899-12-30 09:52:00","","Cesar Cavazos","NO ","1.00","10.00","","14","10","11","15","10","10","","7","","","6","6","5","7","5","7","Lots of trash.","","","","{5968A91C-5E6B-44E0-A2C2-D0DB778755A0}"
"123","","lit c","2003-07-22 00:00:00","1899-12-30 09:35:00","","Cesar Cavazos","NO ",".50","5.00","","7","7","5","9","5","9","","5","","","5","3","5","3","5","3","Lots of trash, very low, very light flow.","","","","{E7E4D5F7-0E67-40A2-ADE5-919BA1E395CA}"
"124","","lit a","2003-07-22 00:00:00","1899-12-30 09:20:00","","Cesar Cavazos","NO ",".50","6.00",".00","0","7","5","5","0","7","","0","","","5","5","5","5","5","5","No flow, pockets of water, not connected.","","","","{B63C46EE-8EC7-4FE7-917E-D0DC7A9DD05B}"
"125","","ash a","2003-07-22 00:00:00","1899-12-30 12:00:00","","Tamara Elliot","NO ","5.00","35.00","5.00","8","8","8","8","8","8","8","4","3","3","8","8","8","8","8","8","Fish,turtles,trash","","","","{4C2C8433-0536-4818-8023-034C1E3EFE04}"
"126","","ash c","2003-07-22 00:00:00","1899-12-30 11:45:00","","Tamara Elliot","NO ",".40","30.00","5.00","5","5","5","5","4","6","6","4","4","4","5","5","5","5","3","5","Fish present, chlorine high,trash","","","","{900A8974-8DF6-4E02-9B31-0316B5F21CFC}"
"127","","ash b","2003-07-22 00:00:00","1899-12-30 11:20:00","","Tamara Elliot","NO ",".03","20.00","3.00","3","2","8","3","6","5","5","2","3","3","5","5","8","8","4","4","Algae present,small minows trash present","","","","{0B0674D5-226A-4ADD-8EDD-79E2F9E57996}"
"128","","mcc a","2003-07-22 00:00:00","1899-12-30 10:40:00","","Tamara Elliot","NO ","3.00","30.00","8.00","8","6","8","8","8","8","8","2","2","2","5","5","4","4","4","8","Some trash evident, some sort of dam in creek","","","","{01889BF4-B686-419B-A9B9-0EF8FA0DD3BF}"
"129","","wil a","2003-07-22 00:00:00","1899-12-30 10:20:00","","Tamara Elliot","NO ","5.00","5.00","1.00","","1","2","2","3","2","2","1","2","2","1","2","3","3","1","1","Creek cloged by sediment build up no fish","","","","{5DD925C5-67C4-437F-9C9D-2994DACED790}"
"130","","jen a","2003-07-22 00:00:00","1899-12-30 09:36:00","","Tamara Elliot","NO ",".04","15.00","","3","2","3","4","3","4","5","6","5","4","5","5","4","4","3","3","Fish present crawfish high trash high erosion","","","","{72EBA2A1-E9A6-43E8-ABBB-091C16A022D5}"
"131","","woo a","2003-07-23 00:00:00","1899-12-30 11:20:00","","Tamara Elliot","NO ",".08","40.00","8.00","8","2","8","8","8","8","8","8","8","8","5","5","8","8","2","2","Trash present, limestone basin brown algae present","","","","{A8D2A8AD-72B4-4736-A1DF-6EBC19F08612}"
"132","","woo b","2003-07-23 00:00:00","1899-12-30 10:45:00","","Tamara Elliot","NO ","4.00","40.00","8.00","4","3","4","4","5","5","5","2","3","5","5","5","5","5","3","3","Fish,trash present, brown algae","","","","{766025F3-F54F-4024-949D-AA5B1AE9E358}"
"133","","cro b","2003-07-23 00:00:00","1899-12-30 10:10:00","","Tamara Elliot","NO ","1.00","25.00","4.00","4","2","5","4","4","5","5","3","5","3","3","3","2","2","3","3","Tash dumped, brown algae, rock basin","","","","{6C8406B6-C492-4122-B429-EE30F8D6DDD2}"
"134","","cro a","2003-07-23 00:00:00","1899-12-30 09:30:00","","Tamara Elliot","NO ","2.00","20.00","8.00","8","4","8","8","8","8","8","8","8","8","8","8","5","4","6","6","Variety of fish, some trash, rock basin","","","","{88B0E24E-8C9B-4CD5-B6C3-14094957DFE9}"
"135","","bit b","2003-07-23 00:00:00","1899-12-30 12:00:00","","Cesar Cavazos","NO ","","","","","","","","","","","","","","","","","","","","Creek dried up, no water flow, vegatation high, trash present, concrete channel","","","","{DF5A2AFE-2D84-4EEE-A6D7-C37E8F3CA648}"
"136","","bit a","2003-07-23 00:00:00","1899-12-30 11:45:00","","Cesar Cavazos","NO ","","","","","","","","","","","","","","","","","","","","Creek dried up no water flow, trash evident ","","","","{473C899A-2CDE-4E90-97BC-AF2E8719548C}"
"137","","ceb a","2003-07-23 00:00:00","1899-12-30 11:00:00","","Cesar Cavazos","NO ","1.00","11.00","","6","10","5","7","7","7","","9","","","5","5","4","4","5","5","","","","","{DBA05EEE-8C4F-4908-912C-66AE9FA5884E}"
"138","","ceb b","2003-07-23 00:00:00","1899-12-30 10:40:00","","Cesar Cavazos","NO ",".50","6.00","","6","11","5","7","9","7","","7","","","4","4","4","4","5","5","","","","","{F29E3557-5CFF-41BD-AFD0-540E1C16F95B}"
"139","","wjo a","2003-07-23 00:00:00","1899-12-30 10:15:00","","Cesar Cavazos","NO ","2.00","50.00","","9","9","9","10","16","11","4","5","","","7","7","5","5","7","7","","","","","{8187512C-5732-4982-A754-C0837FF4FF74}"
"140","","lak a","2003-07-23 00:00:00","1899-12-30 09:33:00","","Cesar Cavazos","NO ","","","","","11","","","","","","","","","7","7","7","7","7","7","Green floating  algae evident, trash present","","","","{83649F70-9C3B-4E01-8AE9-72D3FC47480B}"
"141","","ric c","2003-07-29 00:00:00","1899-12-30 10:55:00","","Carlton Eurey","NO ","2.00","12.00","","5","7","7","9","9","7","","5","","","5","5","7","7","5","5","Trash present. heavy sediment. ","","","","{9E0612F2-B8F7-4302-B0F1-E33EB7E24793}"
"142","","ric b","2003-07-29 00:00:00","1899-12-30 10:37:00","","Carlton Eurey","NO ","1.00","15.00","","9","9","7","11","7","10","","7","","","4","4","7","7","7","7","Trash present. rock basin. ","","","","{D3C78145-CEC8-4610-AFCE-DA0F827CDE88}"
"143","","ric a","2003-07-29 00:00:00","1899-12-30 10:04:00","","Carlton Eurey","NO ","1.50","10.00","","6","7","5","6","6","5","","1","","","3","3","1","1","2","2","Heavy sediment, no flow.","","","","{A4637A44-A84E-4C13-B5F6-955E82B1F228}"
"161","","flo a","2003-07-14 00:00:00","1899-12-30 00:35:00","","Cesar Cavazos","NO ","","","","5","9","7","4","7","3","4","9","4","4","2","2","2","2","7","7","","","","","{935E8E94-055E-46FE-8AFE-89B4D612B6AF}"
"163","","cot a","2003-07-14 00:00:00","1899-12-30 12:06:00","","Cesar Cavazos","NO ","","","","7","7","6","8","7","8","7","6","6","6","5","5","5","5","5","5","","","","","{B2941316-4206-40E3-AC5C-A75C8B3B866A}"
"164","","cot b","2003-07-14 00:00:00","1899-12-30 10:31:00","","Cesar Cavazos","NO ","","","","8","4","5","6","5","5","5","4","4","4","2","2","2","2","2","2","bridge under construction, banks caving in, trash present.","","","","{0F9FC7EB-8AD3-4DAD-B942-19154FDFED39}"
"181","","joe b","2003-08-22 00:00:00","1899-12-30 10:15:00","","Tamara Elliot","YES","1.00","10.00","4.00","6","12","2","4","4","5","5","1","3","5","5","3","2","4","6","6","2 fish kills in last month,high algae, some minnows","","","","{74C177B4-4C33-4146-BDF5-5B46C6D833CB}"
"182","","joe a","2003-08-22 00:00:00","1899-12-30 08:50:00","","Tamara Elliot","YES","1.60","20.00","7.00","8","7","7","11","7","7","7","7","8","11","5","5","2","2","2","2","Fish present minnows, trash present, heavy algae","","","","{8670129B-5D80-43C2-88D8-4F5FFFDC526F}"
"183","","smc a","2003-08-19 00:00:00","1899-12-30 11:14:00","","Tamara Elliot","YES",".60","15.00","5.00","4","2","4","5","5","8","8","8","8","8","4","4","3","3","4","4","High algae, fish present, trash present, creek improving very nicely","","","","{66F11C5D-D805-43B4-9D92-D161A03291A6}"
"184","","par a","2003-08-19 00:00:00","1899-12-30 10:00:00","","Tamara Elliot","YES",".60","5.00","5.00","2","8","2","2","5","4","4","1","8","4","4","4","3","3","2","2","High algae, trash present, some minnows","","","","{C25AA40D-40DD-4944-B69C-FF43D4FA688F}"
"185","","cec c","2003-09-05 00:00:00","1899-12-30 11:14:00","","Tamara Elliot","YES",".80","20.00","6.00","5","2","5","5","5","5","5","5","4","5","5","3","5","8","2","2","Limestone with gravel some trash, fish present","","","","{9B0D9AFD-B878-45FE-A666-C23BF21CC849}"
"186","","cec b","2003-09-05 00:00:00","1899-12-30 10:08:00","","Tamara Elliot","YES",".60","21.90","8.00","8","2","5","8","8","8","8","8","8","8","5","6","5","5","5","8","Trash present,limestone basin, fish present","","","","{62E84435-2E13-4789-9137-375E1295366B}"
"187","","cec a","2003-09-05 00:00:00","1899-12-30 09:00:00","","Tamara Elliot","YES",".80","15.00","8.00","8","2","5","5","4","6","6","6","6","6","5","5","5","2","2","2","Heavy trash, gravel basin, fish present sewar cap off","","","","{3BDDC60D-1F09-4347-BC9C-2208BD5EBBE7}"
"188","","fil b","2003-09-09 00:00:00","1899-12-30 10:50:00","","Tamara Elliot","YES","","","","","5","","5","","","","","20","","2","2","20","20","2","2","Fish trap is a lake, some trash some cat tails","","","","{FAD0B20F-C07F-4EB7-85A2-B246D5672D47}"
"189","","fil a","2003-09-09 00:00:00","1899-12-30 09:58:00","","Tamara Elliot","YES","1.60","10.00","4.00","3","8","5","5","5","3","3","3","2","3","8","8","4","4","8","8","Heavy trash, fish present, high silt and algae. plus 100 scud mayfly, midge","","","","{0791C998-AD2F-40D0-8EAD-3936061F8AEF}"
"190","","tro b","2003-09-11 00:00:00","1899-12-30 12:31:00","","Cesar Cavazos","NO ","1.00","6.00","","5","9","7","9","5","7","","5","","","5","5","3","3","3","3","Green algae present. some rocks from construction.","","","","{B371BD67-CE4B-46C4-888F-68DFF01B05E5}"
"191","","tro a","2003-09-11 00:00:00","1899-12-30 11:37:00","","Cesar Cavazos","NO ","1.00","5.00","","7","10","9","5","9","8","","3","","","5","5","3","3","4","4","Trash present.","","","","{A009BFD1-BE78-4678-B89E-497713233D16}"
"192","","ten d","2003-09-10 00:00:00","1899-12-30 12:11:00","","Tamara Elliot","YES",".80","30.00","8.00","5","4","8","5","5","8","5","5","5","5","4","4","10","10","1","1","Fish present, some trash, algae present","","","","{DB8306FD-A8A3-4FC0-82BF-817779C0408B}"
"193","","ten c","2003-09-10 00:00:00","1899-12-30 11:16:00","","Tamara Elliot","YES",".50","40.00","5.00","2","2","2","2","5","8","8","5","5","5","8","8","5","5","2","2","Some trash, algae present, fish present.","","","","{7EDE0CCC-DFC7-4886-8BCE-7AFFC480F69F}"
"194","","ten b","2003-09-10 00:00:00","1899-12-30 10:23:00","","Tamara Elliot","YES",".60","30.00","5.00","4","3","5","3","4","6","6","4","5","3","7","7","5","5","3","3","Fish present, batteries in creek, some algae, trash present.","","","","{E7DCF564-74E6-4CB7-BFB2-722B5B0C4116}"
"195","","ten a","2003-09-10 00:00:00","1899-12-30 09:13:00","","Tamara Elliot","YES",".10","15.00","8.00","8","1","5","5","8","5","6","8","8","5","1","1","2","2","1","1","Conc slab and rebar, fish present, dead cow on bank, alga  present.","","","","{40436F73-0842-4221-8DF4-581E95149E9A}"
"196","","cac a","2003-09-18 00:00:00","1899-12-30 09:32:00","","Tamara Elliot","YES","1.60","20.00","3.00","2","10","5","2","5","5","5","2","2","2","10","10","8","8","10","10","Some trash, high vegatation, minnows present.","","","","{EF0B17AE-5560-4CF5-B37E-EA1BA9D8A727}"
"197","","dan a","2003-09-18 00:00:00","1899-12-30 08:47:00","","Tamara Elliot","YES","3.00","15.00","2.00","2","10","5","2","2","5","5","1","1","2","","8","5","5","8","8","Trash present, vegitation overgrown, minnows present.","","","","{1C850235-DFFE-4AB3-845A-B1FF488A1906}"
"198","","fiv d","2003-09-24 00:00:00","1899-12-30 14:20:00","","Tamara Elliot","YES","6.00","8.00","8.00","5","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Limestone basin,outfall running with fuel in it, some minnows trash","","","","{640F08DD-4BC2-45D7-B44D-CACB737111B2}"
"199","","fiv c","2003-09-24 00:00:00","1899-12-30 13:01:00","","Tamara Elliot","YES","1.00","40.00","7.00","5","2","5","5","5","8","8","5","5","5","5","5","2","2","2","2","Some fish, trash evident, gravel basin","","","","{02CD01B9-46A9-485A-9D44-91F33CAC37D2}"
"200","","fiv b","2003-09-24 00:00:00","1899-12-30 11:30:00","","Tamara Elliot","YES","3.00","20.00","8.00","8","2","5","5","8","5","5","8","8","5","5","5","5","5","2","2","Trash present, gravel basin, fish present.","","","","{C207A855-AB5F-4CCC-A2C7-AEA2B6AC71B2}"
"201","","fiv a","2003-09-24 00:00:00","1899-12-30 10:39:00","","Tamara Elliot","YES","2.00","20.00","5.00","5","2","5","5","5","6","6","5","5","5","5","5","3","3","2","2","Turtles, fish, some trash, gravel bottom","","","","{7D8BA8E3-B161-4CDE-BCF9-B4077CFEFB57}"
"202","","hut a","2003-10-03 00:00:00","1899-12-30 10:05:00","","Tamara Elliot","YES",".50","35.00","3.00","2","1","1","1","5","5","5","1","1","1","4","4","8","8","1","1","Man made cannel put in, natural habitat gone,concrete,some trash","","","","{6F6BCCDE-F523-4D9A-B6C7-5B7371899926}"
"204","","whc e","2003-10-08 00:00:00","1899-12-30 07:59:00","","Cesar Cavazos","NO ","","","","","","","","","","","","","","","","","","","","","","","","{4A8318D1-EF4A-413F-9066-E179F5CA09F9}"
"205","","bit a","2003-10-08 00:00:00","1899-12-30 07:58:00","","Cesar Cavazos","NO ","","","","","","","","","","","","","","","","","","","","","","","","{3962A1DA-8A1B-423B-96B8-0BB8BBB6E151}"
"218","","whc c","2004-01-14 00:00:00","1899-12-30 13:15:00","","Tamara Elliot","YES","12.00","30.00","8.00","8","1","6","6","6","5","5","8","8","8","1","2","3","6","2","2","Trash pressent,some minows and shiners present.","","","","{9E4A1721-32B7-4E42-9B7A-DB922F8203C5}"
"219","","whc b","2004-01-14 00:00:00","1899-12-30 11:00:00","","Tamara Elliot","YES","15.00","150.00","9.00","8","8","6","5","8","8","8","2","2","5","5","4","5","5","8","3","So me trash, fish present","","","","{71ACC9A5-7937-450C-8CF4-1410CB0DC040}"
"220","","whc a","2004-01-14 00:00:00","1899-12-30 09:56:00","","Tamara Elliot","YES","10.00","35.00","","6","7","2","6","6","6","4","1","1","3","5","5","2","2","1","2","....lots of trash ,fish present, shiners.","","","","{51E0B6EB-100B-41DA-B12B-512F5863308C}"
"238","","fur a","2004-04-20 00:00:00","1899-12-30 12:29:00","","Tamara Elliot","NO ","1.00","15.00","6.00","5","6","5","5","5","8","8","6","2","5","6","6","5","5","5","5","Fish present, some trash, gravel basin.","","","","{5284C518-D354-48FA-97B8-33434DEF628B}"
"239","","fur b","2004-04-20 00:00:00","1899-12-30 11:55:00","","Tamara Elliot","NO ","2.00","15.00","3.00","6","3","2","6","6","5","5","2","2","2","5","5","4","4","3","3","Some trash evident.","","","","{05D2C98A-C3AB-4A72-95B4-EF4114A91B86}"
"240","","hut b","2004-04-20 00:00:00","1899-12-30 11:27:00","","Tamara Elliot","NO ",".60","20.00","3.00","3","0","2","2","2","5","5","2","1","1","1","1","8","8","1","1","Concrete channel, trash present, algae present, some minnows present.","","","","{8C658029-5F1D-454D-BB10-489CE0086782}"
"241","","whc e","2004-04-20 00:00:00","1899-12-30 10:47:00","","Tamara Elliot","NO ","1.00","30.00","8.00","8","2","8","2","8","9","9","9","9","9","5","5","3","3","4","4","Limestone basin, very little trash present, some brown algae.","","","","{B69C2074-2CC8-4A1B-9144-47B0D76579EE}"
"242","","mck a","2004-04-16 00:00:00","1899-12-30 09:00:00","","Tamara Elliot","NO ",".10","20.00","5.00","5","5","5","5","5","5","6","6","5","5","6","6","6","6","6","6","Dirt channel, some fish trash present","","","","{26AB7DBF-B312-4E84-AF42-16F6762F1E61}"
"243","","mck b","2004-04-16 00:00:00","1899-12-30 10:35:00","","Tamara Elliot","NO ",".10","20.00","3.00","4","3","3","4","4","5","5","5","3","3","6","6","6","6","3","3","limestone channel some minnows, trash present.","","","","{12BBBF53-6FCA-4AF5-9F95-631A4481DB51}"
"244","","mck c","2004-04-20 00:00:00","1899-12-30 10:29:00","","Tamara Elliot","NO ","1.50","25.00","5.00","5","5","2","2","5","5","5","5","5","2","6","2","3","5","6","2","Heavy algae, limestone basin.","","","","{FF7450C5-ADAB-4B08-BD42-D64D9465064C}"
"245","","far b","2004-04-21 00:00:00","1899-12-30 12:15:00","","Tamara Elliot","NO ","1.50","15.00","3.00","3","2","3","3","3","6","6","3","3","3","5","1","5","5","1","1","Fish present, green and brown algae evident, some trash.","","","","{51CCD449-54F8-4679-802D-A88DD02F5C9E}"
"246","","bab d","2004-04-21 00:00:00","1899-12-30 11:45:00","","Tamara Elliot","NO ",".80","20.00","4.00","4","3","5","3","4","5","5","6","6","5","5","5","5","6","3","3","Green algae, some trash present concrete and limestone basin.","","","","{A7B75631-CECE-4BD7-BC9F-FD521E6FFAE5}"
"247","","bab c","2004-04-21 00:00:00","1899-12-30 10:29:00","","Tamara Elliot","NO ","5.00","30.00","2.00","2","1","3","3","2","3","3","1","1","1","2","3","5","3","1","1","Some fish brown algae, trash present, rock and grvel basin.","","","","{5D3E02E5-374A-4E94-A7B5-FC16B873EE16}"
"248","","dan b","2004-05-06 00:00:00","1899-12-30 11:21:00","","Tamara Elliot","NO ",".00","15.00",".00","0","1","0","0","0","2","3","0","0","0","4","4","6","6","3","3","Creek dry concrete channel, trash present ","","","","{BA9C7041-E2CD-4425-BC7C-D5402B1DDE78}"
"249","","joe b","2004-05-06 00:00:00","1899-12-30 11:15:00","","Tamara Elliot","NO ","2.00","20.00","2.00","2","5","2","2","3","2","2","1","1","2","4","4","5","5","4","4","Cat tails some trash dirt basin","","","","{54B0B55C-C41E-4677-B883-6AC1EB547C79}"
"250","","dan a","2004-05-06 00:00:00","1899-12-30 10:34:00","","Tamara Elliot","NO ","5.00","15.00","2.00","2","6","5","2","3","3","3","1","1","2","6","6","8","8","8","8","..lots of growth trash present dirt channel","","","","{977EAD1B-717B-48D9-AD0D-5DBE832C2ABC}"
"251","","raw a","2004-05-11 00:00:00","1899-12-30 13:34:00","","Tamara Elliot","NO ",".40","35.00","5.00","5","5","5","5","5","5","6","5","5","5","1","1","8","8","1","1","Concrete chanel, high algae, some trash.","","","","{BD78F265-7AF2-455A-8EB3-A932608FD072}"
"252","","raw b","2004-05-11 00:00:00","1899-12-30 13:26:00","","Tamara Elliot","NO ","3.00","30.00","5.00","6","2","6","6","6","6","8","2","2","2","2","2","8","8","2","2","gabian wall concrete chanel, some fish, traah present","","","","{7ACFE7ED-0F4D-444C-BAD1-A91C9843E298}"
"253","","hut a","2004-05-11 00:00:00","1899-12-30 12:00:00","","Tamara Elliot","NO ",".60","15.00","5.00","5","4","4","3","5","3","4","2","5","5","2","3","3","3","2","2","Some minnows some trash, construction being done gravel dirt basin","","","","{1192B4A0-A450-4D17-BF3F-067826237FD8}"
"254","","far a","2004-05-11 00:00:00","1899-12-30 11:22:00","","Tamara Elliot","NO ","2.50","25.00","5.00","5","3","3","5","5","5","6","2","2","2","4","4","3","3","2","2","Some trash dirt basin","","","","{193D8388-7C48-46A9-92EF-E914AC0825B8}"
"255","","ceb a","2004-05-17 00:00:00","1899-12-30 11:21:00","","Tamara Elliot","NO ","1.00","10.00","5.00","5","2","3","4","5","5","5","5","5","5","5","5","4","4","2","2","trash present some fish, rock basin.","","","","{705193A4-2532-4EED-9A11-826F873DFC57}"
"256","","ceb b","2004-05-17 00:00:00","1899-12-30 11:05:00","","Tamara Elliot","NO ",".60","8.00","6.00","3","2","3","3","3","3","3","5","5","2","2","3","1","3","2","2","some trash present gravel basin.","","","","{9CA0ED69-862C-4506-B45B-F52F9001B22E}"
"257","","efc b","2004-05-17 00:00:00","1899-12-30 10:02:00","","Tamara Elliot","NO ",".60","12.00","5.00","3","2","3","3","5","4","4","5","5","5","4","4","2","2","3","3","Trash present, gravel basin, minnows present.","","","","{C590D4BF-5077-4D02-A9DE-016ECB49D818}"
"258","","efc a","2004-05-17 00:00:00","1899-12-30 10:28:00","","Tamara Elliot","NO ","1.60","10.00","3.00","3","6","2","3","2","3","3","2","2","2","5","5","5","5","6","6","Some trash , high vegitation dirt basin.","","","","{507B80D1-884B-4CB3-92AE-D4100647A124}"
"260","","kni c","2004-05-19 00:00:00","1899-12-30 13:16:00","","Tamara Elliot","NO ","2.00","15.00","3.00","4","6","4","3","3","5","5","1","2","2","5","5","5","5","6","6","Some trash, minnows present, dirt basin","","","","{A398341F-5169-44E1-A586-DCBF65B98275}"
"261","","kni b","2004-05-19 00:00:00","1899-12-30 13:36:00","","Tamara Elliot","NO ","1.00","10.00","5.00","5","2","3","5","5","5","5","5","5","5","4","4","2","2","2","2","some fish and frogs, trash present, dirt and rock basin.","","","","{29061DF0-8771-4837-9817-B0FA576ECFAD}"
"262","","tro a","2004-05-19 00:00:00","1899-12-30 13:56:00","","Tamara Elliot","NO ","1.00","8.00","5.00","5","4","5","4","6","5","5","5","5","4","5","5","4","5","3","3","Fish present, some trash, gravel basin","","","","{3F723559-C4C0-42B9-9DD6-F10EEE0788FB}"
"263","","tro b","2004-05-19 00:00:00","1899-12-30 14:18:00","","Tamara Elliot","NO ",".60","8.00","6.00","5","5","5","5","5","5","5","6","5","5","6","6","5","5","5","5","Brown algae, rock and gravel basin,trash present.","","","","{87EBDC67-07D6-47AA-9E16-F23BCC2D7C75}"
"264","","wjo a","2004-05-19 00:00:00","1899-12-30 14:41:00","","Tamara Elliot","NO ","1.00","35.00","5.00","5","4","5","5","5","5","5","5","5","5","5","5","4","4","4","4","Turtles and fish present, trash present, green algae, gravel basin","","","","{3D3D5037-31F0-43BF-931B-0F6B4D61868E}"
"265","","fil b","2004-05-21 00:00:00","1899-12-30 12:47:00","","Tamara Elliot","NO ","60.00","500.00","1.00","1","5","5","5","1","2","2","2","1","5","5","5","8","8","5","5","A lake, cat tails, fish, green algae, dirt basin.","","","","{EE75FC96-49CA-4C56-826C-EAF8AA44F424}"
"266","","coo b","2004-05-21 00:00:00","1899-12-30 12:23:00","","Tamara Elliot","NO ","12.00","25.00","6.00","5","3","5","5","6","6","6","6","6","6","6","6","3","3","3","3","Brown algae, larger fish, trash, gravel basin.","","","","{FEDDCEAC-EB68-4152-9BB7-DD741403362B}"
"267","","coo c","2004-05-21 00:00:00","1899-12-30 11:03:00","","Tamara Elliot","NO ","10.00","5.00","5.00","5","5","5","5","5","5","5","5","5","5","5","5","6","5","3","3","Green algae, trash, gravel basin.","","","","{FB59818D-1E2D-4445-ABF2-7E39FC1C4B93}"
"268","","cec c","2004-05-21 00:00:00","1899-12-30 10:37:00","","Tamara Elliot","NO ",".50","3.00","4.00","3","3","5","2","2","3","5","5","2","2","3","6","6","6","3","3","Green algae, trash present, water low, limestone basin.","","","","{AFD164A2-3479-4E6B-A3B0-63DDC06C1B3C}"
"269","","coo a","2004-05-21 00:00:00","1899-12-30 10:10:00","","Tamara Elliot","NO ","1.50","20.00","5.00","5","1","5","5","5","5","5","5","5","5","5","5","5","5","2","2","Fish present, some trash, concrete basin.","","","","{42553228-9987-451D-97DA-EE36AC0DD280}"
"270","","lac b","2004-05-21 00:00:00","1899-12-30 09:33:00","","Tamara Elliot","NO ","1.00","4.00","2.00","2","3","3","2","4","2","2","1","1","1","3","3","4","4","2","2","Trash present, high algae, dirt channel.","","","","{0A2EFDEF-2452-47FF-8551-5443BB0925D2}"
"271","","lac a","2004-05-26 00:00:00","1899-12-30 10:28:00","","Tamara Elliot","NO ","80.00","225.00","2.00","5","5","5","5","5","2","1","1","2","2","4","4","8","8","4","4","Lake cliff lake, fish present, trash, dirt basin.","","","","{71D4B178-F78C-4D93-A573-5F8E65073A79}"
"272","","tur a","2004-05-26 00:00:00","1899-12-30 10:05:00","","Tamara Elliot","NO ","23.00","5.00","5.00","5","4","4","5","5","5","5","5","5","5","5","5","4","4","3","3","Fish, trash, green algae, dirt basin.","","","","{7599B6FD-612E-4D89-BA0A-7DF2102A9021}"
"273","","tur b","2004-05-26 00:00:00","1899-12-30 09:54:00","","Tamara Elliot","NO ","36.00","25.00","6.00","8","2","5","8","8","5","6","8","8","6","5","6","5","1","4","5","Fish, green algae, rock basin, trash present.","","","","{1E5C04C1-07AA-4424-937B-771E6591B2BE}"
"274","","ten c","2004-05-26 00:00:00","1899-12-30 09:28:00","","Tamara Elliot","NO ","24.00","25.00","5.00","5","4","5","5","5","6","6","6","6","6","6","6","6","6","4","4","Limestone basin, green algaw, some trash, fish and ducks.","","","","{7050D345-52FA-4C77-8B19-1397BC05757C}"
"275","","ogu b","2004-05-25 00:00:00","1899-12-30 11:19:00","","Tamara Elliot","NO ","10.00","6.00","5.00","4","3","4","5","5","5","5","5","5","5","5","5","3","1","3","3","Gravel and limestone basin, trash, green algae","","","","{4E397199-500F-4C0F-84A3-277F9DF5731F}"
"276","","art b","2004-05-25 00:00:00","1899-12-30 10:57:00","","Tamara Elliot","NO ","8.00","8.00","6.00","6","4","6","6","6","6","6","6","6","6","6","5","3","2","3","3","Trash present, green and brown algae, limestone basin. ","","","","{E515C58C-A854-46E2-9B85-564C2E33BDB2}"
"277","","art a","2004-05-25 00:00:00","1899-12-30 10:30:00","","Tamara Elliot","NO ","12.00","8.00","5.00","5","3","5","5","5","5","5","5","5","5","5","5","4","6","3","3","New rock and gravel work done, dirt basin, little trash.","","","","{AB915FDB-0B76-4E7C-B607-6A17AEB10A05}"
"278","","ogu a","2004-05-25 00:00:00","1899-12-30 10:09:00","","Tamara Elliot","NO ","30.00","5.00","5.00","5","3","5","5","5","5","5","5","5","5","6","6","4","4","3","3","Trash present, some fish, dirt basin.","","","","{93ECB355-FB18-4D87-AA0B-AD6DF8FEF1F5}"
