"WQM_WQ_ASSESMENT_ID","WQ_SITE_ID","WQ_SITE_COMMON_NAME","WQ_ASSESMENT_DATE","WQ_ASSESMENT_TIME","WQ_ASSESMENT_EMPLOYEE_ID","WQ_ASSESMENT_EMPLOYEE_NAME","PH","DISSOLVED_OXYGEN","WATER_TEMPERATURE","SPEC_CONDUCTIVITY","TOT_DISSOLVED_SOLID","ORP","TURBIDITY","TOT_SUSPENDED_SOLID","CHLORINE","HARDNESS","FECAL","PHOSPHOROUS","NITRATE","NITRITE","IRON","AMMONIA","CHEM_OXYGEN_DEMAND","PHENOLS","COPPER","DETERGENT","SULFATE","SECCHI_DEPTH","SEWAGE_ODOR","SOLVENT_ODOR","PETROLEUM_ODOR","FISH_ODOR","ASSESMENT_COMMENTS","CREATE_DATE","MODIFY_EMPLOYEE_ID","MODIFY_DATE","PASSED_INVERTIBRATE_TOX","PASSED_FATHEAD_TOX","NITRATE_NITRITE","E_COLI","ROWID"
"179","","wjo a","2003-07-23 00:00:00","1899-12-30 10:19:00","","Cesar Cavazos","8.13","4.26","28.92",".675",".40","326","83","102",".08","185","20",".290",".000",".015","3.47",".000","23.00","0",".000","","","","NO ","NO ","NO ","NO ","Some trash vegatation high","","","","","","","","{7E3BA7B1-D84D-4FFC-AAC7-6C80DD897527}"
"180","","lak a","2003-07-23 00:00:00","1899-12-30 09:47:00","","Cesar Cavazos","8.29","4.60","30.18",".224",".10","318","47","57",".00","185","2",".290",".000",".000",".24",".000","28.00","0",".000","","","","NO ","NO ","NO ","NO ","Lake ,trash present, algae present","","","","","","","","{0F21E2CF-BFF1-4E21-BC8A-EFB031FE237F}"
"181","","ric c","2003-07-29 00:00:00","1899-12-30 11:02:00","","Carlton Eurey","8.09","1.95","25.75",".508",".30","309","7","17",".01","425","2400",".320",".140",".000",".35",".000",".00","0",".010","","","","NO ","NO ","NO ","NO ","Heavy trash present.","","","","","","","","{5285B815-8B66-48C7-843F-914303F05E57}"
"182","","ric b","2003-07-29 00:00:00","1899-12-30 10:41:00","","Carlton Eurey","8.50","5.19","25.97",".420",".30","308","7","17",".30","425","228",".210",".000",".000",".07",".000",".00","0",".010","","","","NO ","NO ","NO ","NO ","Rock basin. trash present.","","","","","","","","{5DA9CB93-7F0E-4229-BB5F-6FC2A8199FED}"
"183","","ric a","2003-07-29 00:00:00","1899-12-30 10:14:00","","Carlton Eurey","7.82","2.08","24.63",".628",".40","304","6","11",".80","425","64",".170",".120",".000",".00",".000",".00","0",".010","","","","NO ","NO ","NO ","NO ","Heavy sediment. variety of fish.","","","","","","","","{DB1F0CC3-F366-41E3-BEE0-F0DCC905F51A}"
"201","","flo a","2003-07-14 00:00:00","1899-12-30 12:35:00","","Cesar Cavazos","9.18","7.57","28.56",".563",".40","334","31","41",".00","185","300","3.050","7.230",".032",".07",".000",".00","0",".000","","","","NO ","NO ","NO ","NO ","","","","","","","","","{98C32502-F37E-4B70-807A-8B9D63177DE5}"
"202","","flo b","2003-07-14 00:00:00","1899-12-30 11:30:00","","Cesar Cavazos","8.49","5.76","27.35",".578",".40","339","26","32",".00","185","140","3.600","8.500",".041",".18",".000","23.00","0",".000","","","","NO ","NO ","NO ","NO ","","","","","","","","","{4188DD8A-3F28-458B-A2BB-6ABE54011DF7}"
"203","","cot a","2003-07-14 00:00:00","1899-12-30 12:06:00","","Cesar Cavazos","8.43","6.65","28.15",".514",".30","337","22","37",".00","185","292",".310",".570",".039",".15",".000",".00","0",".000","","","","NO ","NO ","NO ","NO ","","","","","","","","","{6922127D-0041-4777-B592-5520EFDFD3A8}"
"204","","cot b","2003-07-14 00:00:00","1899-12-30 10:31:00","","Cesar Cavazos","8.74","7.16","26.21",".564",".40","354","31","36",".00","185","176",".000",".860",".032",".05",".000",".00","0",".000","","","","NO ","NO ","NO ","NO ","Bridge under construction, some part landslide,trash present","","","","","","","","{BBD09164-EDB4-4312-86A9-7DF82739060B}"
"221","","joe b","2003-08-22 00:00:00","1899-12-30 10:15:00","","Tamara Elliot","8.16","2.67","27.18",".956",".60","484","8","6",".06","250","504",".120",".000",".104",".50","1.000","28.00","0",".000","","","","NO ","NO ","NO ","NO ","Two fish kills in last month, high algae, some minnows","","","","","","","","{24D4080A-E685-4754-97C7-001C40C30A18}"
"222","","joe a","2003-08-22 00:00:00","1899-12-30 08:50:00","","Tamara Elliot","8.10","2.30","27.70",".738",".05","479","4","6",".03","120","","","","","","","","",".000","","","","NO ","NO ","NO ","NO ","Fish present minnows, trash evident,heavy algae.","","","","","","","","{525F9B8C-E530-4572-9A0D-098C24A7E688}"
"223","","smc a","2003-08-19 00:00:00","1899-12-30 11:14:00","","Tamara Elliot","8.60","5.57","29.31",".662",".00","461","7","0",".05","425","220",".100",".000",".010",".08",".000","23.00","28",".000","","","","NO ","NO ","NO ","NO ","High algae, some trash, fish present","","","","","","","","{848120CF-3E0E-401D-A23C-D8478F1AF609}"
"224","","par a","2003-08-19 00:00:00","1899-12-30 10:00:00","","Tamara Elliot","8.39",".98","27.95",".728",".50","472","19","24",".06","120","4","1.000",".000",".010",".65",".000",".00","15",".000","","","","NO ","NO ","NO ","NO ","High algae, some minnows present, trash evident","","","","","","","","{52692A24-7AC9-4434-8E3D-E4E97E3F68B8}"
"225","","cec c","2003-09-05 00:00:00","1899-12-30 11:09:00","","Tamara Elliot","8.00","6.78","24.17",".520",".30","422","16","1",".10","185","76",".120",".000",".040",".05",".000","40.00","31",".000","","","","NO ","NO ","NO ","NO ","Fish present, some trash gravel and limestone","","","","","","","","{26CC4B94-A5CF-45B5-958B-EA3193221C42}"
"226","","cec b","2003-09-05 00:00:00","1899-12-30 10:10:00","","Tamara Elliot","7.53","4.92","25.01",".504",".30","432","7","1",".05","185","268",".070","1.280",".150",".07",".000","22.00","36",".000","","","","NO ","NO ","NO ","NO ","Trash present fish present, limestone basin","","","","","","","","{E1AC74EB-84CB-454D-984F-5025F434180C}"
"227","","cec a","2003-09-05 00:00:00","1899-12-30 09:00:00","","Tamara Elliot","7.58","4.37","24.14",".522",".30","451","3","24",".00","300","140",".070","1.150",".083",".07",".000","31.00","47",".000","","","","NO ","NO ","NO ","NO ","Heavy trash, fish present, gravel basin.","","","","","","","","{105263C2-78C8-48EE-98FD-45A11F29E682}"
"228","","fil b","2003-09-09 00:00:00","1899-12-30 10:50:00","","Tamara Elliot","9.97","4.07","27.80",".233",".20","257","57","56",".13","185","25",".130","9.690",".013","1.65",".000","52.00","28",".000","","","","NO ","NO ","NO ","NO ","Perch present, some trash lake body with some cat tails","","","","","","","","{351C1BC4-0135-4420-BEDF-BB3BD9B9DED7}"
"229","","fil a","2003-09-09 00:00:00","1899-12-30 09:58:00","","Tamara Elliot","8.36","2.84","24.75",".833",".50","254","25","15",".00","300","73",".070","6.980",".037",".09",".000",".00","10",".000","","","","NO ","NO ","NO ","NO ","Heavy trash, fish present, high silt and alga.","","","","","","","","{185FE2B0-73C1-4CD2-ACCA-D2A045F24182}"
"230","","tro b","2003-09-11 00:00:00","1899-12-30 12:24:00","","Cesar Cavazos","7.27","3.38","25.88",".651",".40","377","8","4",".19","185","25",".100","1.850",".028",".15",".000","61.00","11",".000","","","","NO ","NO ","NO ","NO ","","","","","","","","","{FF809501-A1EB-49B8-A7A6-97EFBFB37DDF}"
"231","","tro a","2003-09-11 00:00:00","1899-12-30 11:31:00","","Cesar Cavazos","7.86","6.77","27.13",".842",".50","381","5","6",".07","300","35",".090","2.500",".017",".12",".000","25.00","45",".000","","","","NO ","NO ","NO ","NO ","Trash present.","","","","","","","","{94D8EDC3-8FDA-4E9B-9AE7-539677296EB6}"
"232","","ten c","2003-09-10 00:00:00","1899-12-30 11:16:00","","Tamara Elliot","7.60","5.02","24.00",".429",".30","382","3","12",".24","185","","","","","","","","","","","","","NO ","NO ","NO ","NO ","Fish present, algae evident, some trash","","","","","","","","{69E84070-12C0-40F7-8E96-218CC691F138}"
"233","","ten b","2003-09-10 00:00:00","1899-12-30 10:23:00","","Tamara Elliot","7.80","4.97","24.40",".394",".30","383","0","0",".50","185","","","","","","","","","","","","","NO ","NO ","NO ","NO ","Fish present, trash evident, batteries in creek, algae present","","","","","","","","{79DF07AD-F1C2-4A7F-AD83-CE4A1829627A}"
"234","","ten a","2003-09-10 00:00:00","1899-12-30 09:13:00","","Tamara Elliot","7.65","4.30","25.10",".349",".20","393","21","18",".00","185","","","","","","","","","","","","","NO ","NO ","NO ","NO ","Fish present, some trash busted slab with rebar dead cow on creek bank.","","","","","","","","{6890514D-786B-4F9E-9F0F-BA8536EB2ECD}"
"235","","ten d","2003-09-10 00:00:00","1899-12-30 12:15:00","","Tamara Elliot","7.30","5.86","26.56",".586",".40","383","6","0",".04","300","","","","","","","","","","","","","NO ","NO ","NO ","NO ","Fish present some trash, algae present","","","","","","","","{4593FCDA-3B65-4F40-9180-AF7E3EFD2B8B}"
"236","","cac a","2003-09-18 00:00:00","1899-12-30 09:35:00","","Tamara Elliot","7.19","1.02","24.13",".380",".20","301","20","26",".05","185","78",".140",".100",".010",".46",".000",".00","0","","",".000","","NO ","NO ","NO ","NO ","Some trash, aquatic vegatation high, minnows present.","","","","","","","","{5FC89C33-AB07-4192-85DA-61A30E6A59B5}"
"237","","dan a","2003-09-18 00:00:00","1899-12-30 08:47:00","","Tamara Elliot","7.29","1.78","24.92",".581",".40","366","14","8",".02","300","131",".530",".100",".011",".59","","21.00","0","","","","","NO ","NO ","NO ","NO ","Heavy trash, high vegetation, some minnows.","","","","","","","","{776B1611-F138-44CB-A6AF-1B64F289B291}"
"238","","fiv d","2003-09-24 00:00:00","1899-12-30 14:23:00","","Tamara Elliot","7.51","3.38","23.06",".483",".30","453","3","6",".01","185","33",".120",".430",".044",".04",".000",".00","0",".000","","","","NO ","NO ","YES","NO ","Outfall running gas smell, some minnows, trash, limestone basin","","","","","","","","{4ACC9A22-B79E-4962-B717-8A3950BBB506}"
"239","","fiv b","2003-09-24 00:00:00","1899-12-30 11:30:00","","Tamara Elliot","7.89","4.56","23.40",".447",".30","479","9","4",".00","185","32",".110",".330",".032",".06",".000",".00","0",".000","","","","NO ","NO ","NO ","NO ","Fish present gravel basin, trash present.","","","","","","","","{A261A377-C929-4180-95F9-27AD1C17D8D4}"
"240","","fiv a","2003-09-24 00:00:00","1899-12-30 10:41:00","","Tamara Elliot","7.92","4.16","23.86",".408",".30","491","8","3",".00","185","46",".090",".220",".000",".04","1.000",".00","0",".000","","","","NO ","NO ","NO ","NO ","Turtles, fish,some trash present.","","","","","","","","{D9576E7A-5478-472D-85BD-914D74E7C696}"
"241","","fiv c","2003-09-24 00:00:00","1899-12-30 13:04:00","","Tamara Elliot","7.92","5.47","24.84",".458",".67","463","6","7",".01","185","28",".170",".390",".027",".23",".000",".00","0",".000","","","","NO ","NO ","NO ","NO ","Heavy trash, some minnows, gravel basin","","","","","","","","{70BF956D-AEEE-4080-AA73-B379F2DD56B5}"
"242","","hut a","2003-10-03 00:00:00","1899-12-30 10:08:00","","Tamara Elliot","8.24","6.60","19.51",".643",".40","482","10","0",".13","120","35",".000",".730",".020",".10",".000",".00","0",".010","","","","NO ","NO ","NO ","NO ","Man made concrete channel put in some trash.","","","","","","","","{A813A862-9878-4F6A-90A1-25E8DAA8663F}"
"244","","bab b","2003-10-16 00:00:00","1899-12-30 10:58:00","","Tamara Elliot","","","","","","","","","","","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{5510C1B6-9B75-4279-89CE-3ADFD6DDFC56}"
"258","","whc c","2004-01-14 00:00:00","1899-12-30 13:15:00","","Tamara Elliot","7.84","11.22","15.72",".672",".04","122","17","7",".03","250","41",".950",".400",".030",".14",".000","32.00","0",".000","","","","NO ","NO ","NO ","YES","Trash present.","","","","","","","","{ED8FEB9E-B9D6-47E9-B526-0FA57BA88107}"
"259","","whc b","2004-01-14 00:00:00","1899-12-30 11:00:00","","Tamara Elliot","7.59","7.64","10.96",".418",".03","132","25","14",".35","120","28",".170",".170",".012",".25",".000","34.00","0",".010","","","","NO ","NO ","NO ","NO ","some trash present, some fish. ","","","","","","","","{2616F253-AE18-4FEC-B918-DB5347FA39CF}"
"260","","whc a","2004-01-14 00:00:00","1899-12-30 09:56:00","","Tamara Elliot","7.45","7.77","11.13",".420",".30","148","22","24",".00","120","8",".120",".270",".013",".31",".000","29.00","0",".010","","","","NO ","NO ","NO ","NO ","Lots of trash, shiner fish present.","","","","","","","","{1C919A6E-C60B-40AF-817A-91BD128055F9}"
"278","","mck b","2004-04-16 00:00:00","1899-12-30 10:10:00","","Tamara Elliot","7.80","11.24","11.89",".650",".40","159","7","11",".08","120","58",".050","1.550",".036",".02","","20.00","",".000","","","","NO ","NO ","NO ","NO ","....
some trash minnows present high algae rock bed","","","","","","","","{06C0320C-98D2-4C53-A11C-40A57984F34F}"
"279","","mck a","2004-04-16 00:00:00","1899-12-30 09:12:00","","Tamara Elliot","7.53","8.18","17.43",".700",".50","179","15","23",".00","120","74",".070","1.660",".040",".15","","20.00","",".000","","","","NO ","NO ","NO ","NO ","Some trash, minnows present. rock bottom algae present","","","","","","","","{25E1FBDA-EDFF-4074-A08B-120F991EEE0C}"
"280","","fur a","2004-04-20 00:00:00","1899-12-30 12:32:00","","Tamara Elliot","7.79","9.19","19.26","1.010",".70","163","18","25",".00","425","171",".080",".120",".010",".18","","20.00","",".010","","","","NO ","NO ","NO ","NO ","small fish present, some trash, gravel basin.","","","","","","","","{A798DEEA-8FAD-4191-B667-1F86023AB9C6}"
"281","","fur b","2004-04-20 00:00:00","1899-12-30 12:09:00","","Tamara Elliot","7.58","6.23","19.24",".883",".60","167","44","37",".05","120","22",".150",".100",".010","1.24","","20.00","",".010","","","","NO ","NO ","NO ","NO ","Some trash present, dirt basin","","","","","","","","{D80DD638-D4FA-4E97-B5DB-A0287D465B96}"
"282","","hut b","2004-04-20 00:00:00","1899-12-30 11:31:00","","Tamara Elliot","8.30","16.78","20.28",".719",".50","154","10","5",".31","200","19",".050",".300",".010",".04","","20.00","",".010","","","","NO ","NO ","NO ","NO ","Chlorine level .31 heavy algae, concrete channel,  some minnows.","","","","","","","","{B15877AA-F6DE-447A-8FE1-F0DEB1DC0CA0}"
"283","","whc e","2004-04-20 00:00:00","1899-12-30 10:50:00","","Tamara Elliot","7.77","9.93","18.50",".590",".40","169","9","9",".00","120","60",".080",".680",".024",".05","","20.00","",".010","","","","NO ","NO ","NO ","NO ","Brown algae present, little trash present.","","","","","","","","{9D31F2D0-4DB5-4FAF-A1EC-DB5F04FD9928}"
"284","","mck c","2004-04-20 00:00:00","1899-12-30 10:21:00","","Tamara Elliot","7.83","9.47","18.66",".633",".40","175","16","13",".00","200","248",".140",".290",".016",".17","","20.00","",".010","","","","NO ","NO ","NO ","NO ","lots of algae,. limestone basin, trash present.","","","","","","","","{0B3BCCDE-2565-46F6-8CCC-78AD733BB263}"
"285","","far b","2004-04-21 00:00:00","1899-12-30 12:21:00","","Tamara Elliot","7.69","8.62","21.43",".640",".40","165","7","2",".01","200","27",".080",".550",".016",".06","","20.00","",".010","","","","NO ","NO ","NO ","NO ","Dirt channel, fish algae and trash present.","","","","","","","","{E04E4C3B-87BF-497C-A7E2-594557E8F0FB}"
"286","","bab d","2004-04-21 00:00:00","1899-12-30 11:45:00","","Tamara Elliot","9.60","16.42","23.00",".506",".30","163","9","5",".00","120","9",".340",".390",".032",".03","","53.00","",".010","","","","NO ","NO ","NO ","NO ","Some trash, green algae, concrete and limestone basin","","","","","","","","{EC35CC46-D635-407E-9DE8-F6F84817B48E}"
"288","","bab c","2004-04-21 00:00:00","1899-12-30 10:16:00","","Tamara Elliot","7.28","4.37","18.39",".795",".50","176","7","11",".00","120","31",".190",".410",".036",".06","","23.00","",".010","","","","NO ","NO ","NO ","NO ","Dirt and gravel channel, brown algae, some fish present, some trash present.","","","","","","","","{0EC461EE-37ED-47AF-890B-F2E97E71BC07}"
"289","","dan b","2004-05-06 00:00:00","1899-12-30 11:24:00","","Tamara Elliot","","","","","","","","","","","","","","","","","","","","","","","NO ","NO ","NO ","NO ","Creek dry, concrete channel trash present.","","","","","","","","{CDD3AC16-BCBC-4772-A8F1-0AA177484E79}"
"290","","joe b","2004-05-06 00:00:00","1899-12-30 11:18:00","","Tamara Elliot","7.05",".93","19.65",".836",".50","226","25","34",".00","200","62",".690",".100",".015",".48","1.000","20.00","",".000","","","","NO ","NO ","NO ","NO ","Trash present high algae cat tails dirt basin","","","","","","","","{1C700622-1DB8-4A16-AC57-F7EC75697AFF}"
"291","","dan a","2004-05-06 00:00:00","1899-12-30 10:41:00","","Tamara Elliot","7.30","3.71","21.50",".498",".30","284","58","77",".00","200","8",".360",".170",".053","2.71",".000","32.00","",".000","","","","NO ","NO ","NO ","NO ","Some trash cat tails in abundance dirt basin","","","","","","","","{AC6160BC-3FAF-4425-B3B3-3B001AE54BB0}"
"292","","raw a","2004-05-11 00:00:00","1899-12-30 13:36:00","","Tamara Elliot","8.14","12.94","26.02",".395",".30","214","12","26",".13","100","19",".280",".100",".010",".16","","29.00","",".010","","","","NO ","NO ","NO ","NO ","High algae , some trash concrete chanel.","","","","","","","","{A9B54028-B85F-435F-9E63-9CEE492DF0F0}"
"293","","raw b","2004-05-11 00:00:00","1899-12-30 13:18:00","","Tamara Elliot","8.71","7.68","24.97",".302",".20","223","23","33",".16","120","3",".250",".170",".018",".30","","20.00","",".010","","","","NO ","NO ","NO ","NO ","Some fish, trash present, concrete chanel","","","","","","","","{EEF87793-2CC6-453A-9789-251024BBD1DC}"
"294","","hut a","2004-05-11 00:00:00","1899-12-30 12:02:00","","Tamara Elliot","7.82","9.63","25.14",".653",".40","243","25","31",".00","250","8",".090",".170",".010",".16","","20.00","",".010","","","","NO ","NO ","NO ","NO ","Fish present, some trash, dirt and gravel bassin.","","","","","","","","{3A683BD5-AFFA-4370-892C-C57B3FC994B6}"
"295","","far a","2004-05-11 00:00:00","1899-12-30 11:24:00","","Tamara Elliot","7.53","5.95","23.87",".467",".30","260","68","72",".00","120","40",".210",".100",".010","1.26","","24.00","",".010","","","","NO ","NO ","NO ","NO ","Some trash, dirt basin, minnows present.","","","","","","","","{43EF89E6-4682-402E-9553-3E29DA0098F7}"
"296","","cec a","2004-05-17 00:00:00","1899-12-30 11:25:00","","Tamara Elliot","7.66","7.48","20.85",".752",".50","218","8","8",".00","200","","","","","","","","","","","","","NO ","NO ","NO ","NO ","Some trash fish presnt, rock basin","","","","","","","","{4C3F7259-3B65-4376-BB4E-2C19D24AC1A9}"
"297","","ceb b","2004-05-17 00:00:00","1899-12-30 11:09:00","","Tamara Elliot","7.52","6.42","20.90",".832",".50","213","4","6",".00","250","430",".550","1.800",".022",".21","","20.00","",".000","","","","NO ","NO ","NO ","NO ","Some trash pesent gavel basin","","","","","","","","{BC7175AA-4744-428A-A444-571336AC3F21}"
"298","","efc a","2004-05-17 00:00:00","1899-12-30 10:31:00","","Tamara Elliot","7.41","2.83","21.74",".861",".60","225","6","2",".12","120","98",".910",".740",".034",".31","","24.00","",".000","","","","NO ","NO ","NO ","NO ","Some trash, high vegitation, dirt basin.","","","","","","","","{C0CFC058-A46D-47BD-9219-F02833A05D2E}"
"299","","efc b","2004-05-17 00:00:00","1899-12-30 10:05:00","","Tamara Elliot","7.94","9.43","22.19",".559",".40","235","4","7",".07","250","43",".160",".460",".033",".12","","20.00","",".000","","","","NO ","NO ","NO ","NO ","Trash present, gravel basin, minnows present.","","","","","","","","{C7E8D7D7-562A-4636-862A-DF4A71F78D9C}"
"300","","wjo a","2004-05-19 00:00:00","1899-12-30 14:48:00","","Tamara Elliot","7.64","11.08","28.97",".769",".50","180","11","14",".16","250","211",".170",".100",".010",".20","","20.00","",".000","","","","NO ","NO ","NO ","NO ","Some fish and turtles, green algae present, gravel basin.","","","","","","","","{FF86005B-5002-4263-BD62-B5667A6D3DA0}"
"301","","tro b","2004-05-19 00:00:00","1899-12-30 14:22:00","","Tamara Elliot","7.34","5.45","25.75",".627",".40","184","4","1",".11","200","95",".450",".100",".010",".22","","20.00","",".000","","","","NO ","NO ","NO ","NO ","Some brown algae gravel basin, trash present. ","","","","","","","","{AA4DA1AF-6126-40E6-9239-7D8D6198560B}"
"302","","tro a","2004-05-19 00:00:00","1899-12-30 14:04:00","","Tamara Elliot","8.37","16.83","29.63",".816",".50","190","5","12",".21","100","43",".330",".190",".014",".16","","21.00","",".000","","","","NO ","NO ","NO ","NO ","Some fish presen, high  algae, gravel basin.","","","","","","","","{A761E32F-5042-4828-899D-EAA710A46F7F}"
"303","","kni b","2004-05-19 00:00:00","1899-12-30 13:40:00","","Tamara Elliot","7.84","7.87","20.70",".597",".40","201","4","3",".28","120","12",".180","1.760",".010",".10","","20.00","",".000","","","","NO ","NO ","NO ","NO ","some fish and frogs trash present dirt and rock basin.","","","","","","","","{88D5E8CD-3E37-474B-AFEE-5DF60F8DDC4D}"
"304","","kni c","2004-05-19 00:00:00","1899-12-30 13:20:00","","Tamara Elliot","7.34","6.87","24.03",".510",".30","207","7","13",".00","120","19",".160","1.930",".028",".12","","21.00","",".000","","","","NO ","NO ","NO ","NO ","some trash, fish present, dirt basin","","","","","","","","{9A887F50-682A-411A-9BA2-DE06B4C9377C}"
"305","","fil b","2004-05-21 00:00:00","1899-12-30 12:52:00","","Tamara Elliot","8.45","9.35","27.73",".283",".20","164","32","34",".18","120","25",".190",".100",".010",".82","","33.00","",".000","","","","NO ","NO ","NO ","NO ","Fish, ducks, cat tails green algae, a lake.","","","","","","","","{9B13D14C-F6EA-4392-8F72-3A4D75B13CDB}"
"306","","coo b","2004-05-21 00:00:00","1899-12-30 12:20:00","","Tamara Elliot","7.62","8.60","22.12",".605",".40","163","0","0",".07","200","171",".050",".830",".057",".02","","20.00","",".000","","","","NO ","NO ","NO ","NO ","Larger fish present, brown algae, trash present, gravel basin.","","","","","","","","{C323875A-9C33-402F-B47E-83C4FB3748BB}"
"307","","coo c","2004-05-21 00:00:00","1899-12-30 11:05:00","","Tamara Elliot","7.44","8.88","21.37",".765",".50","174","4","4",".07","250","716",".050","1.300",".111",".02","","20.00","",".000","","","","NO ","NO ","NO ","NO ","Green algae, trash, gravel basin.","","","","","","","","{94185D72-A0AD-4AC6-B128-B75617B7E824}"
"308","","cec c","2004-05-21 00:00:00","1899-12-30 10:41:00","","Tamara Elliot","8.00","15.66","22.88",".653",".40","170","0","0",".03","200","980",".050",".500",".036",".01","","20.00","",".000","","","","NO ","NO ","NO ","NO ","Green algae, trash present, water low, limestone basin.","","","","","","","","{741D1B98-78B0-41F3-A7D7-D3CFD4750F03}"
"309","","coo a","2004-05-21 00:00:00","1899-12-30 10:19:00","","Tamara Elliot","7.76","9.26","23.01",".663",".40","174","4","2",".00","250","115",".050",".590",".045",".04","","20.00","",".000","","","","NO ","NO ","NO ","NO ","Fish present, trash evident, concrete basin.","","","","","","","","{5067EAF2-D0B9-4240-A050-75F072065A11}"
"310","","lac b","2004-05-21 00:00:00","1899-12-30 09:35:00","","Tamara Elliot","7.17","3.44","21.30","1.036",".70","151","13","7",".02","200","128",".440",".900",".081",".50","","20.00","",".000","","","","NO ","NO ","NO ","NO ","High algae, dirt basin, trash present.","","","","","","","","{58BBDE7E-C466-428E-BC10-5B27172E3364}"
"311","","lac a","2004-05-26 00:00:00","1899-12-30 10:31:00","","Tamara Elliot","7.97","6.93","25.62",".273",".20","171","52","47",".01","120","23",".350",".100",".010",".22","","22.00","",".000","","","","NO ","NO ","NO ","NO ","Lake cliff lake, fish present, trash, green algae.","","","","","","","","{6ABE46DC-76DB-4FD6-B98E-8A1A402256AF}"
"312","","tur a","2004-05-26 00:00:00","1899-12-30 10:07:00","","Tamara Elliot","7.38","3.77","22.73",".965",".60","170","11","11",".04","300","89",".610",".310",".060",".24","","20.00","",".020","","","","NO ","NO ","NO ","NO ","Fish present, trash, green algae, dirt basin.","","","","","","","","{E3F5D22A-D088-4AED-B0E4-387FF8960AB9}"
"313","","tur b","2004-05-26 00:00:00","1899-12-30 09:49:00","","Tamara Elliot","7.75","6.41","23.36",".684",".40","173","9","0",".02","250","180",".540",".160",".019",".04","","20.00","",".000","","","","NO ","NO ","NO ","NO ","Green algae, rock basin,trash present, fish.","","","","","","","","{8A82550F-1FBC-4C9C-9AC8-07898BD7C65A}"
"314","","ten c","2004-05-26 00:00:00","1899-12-30 09:31:00","","Tamara Elliot","7.58","2.88","24.31",".685",".40","175","11","18",".04","200","","","","","","","","","","","","","NO ","NO ","NO ","NO ","Fish and dycks present, green algae, limestone basin, trash present.","","","","","","","","{57E51FF6-A5BA-4AE0-AA1C-C9C43B54FA86}"
"315","","ogu b","2004-05-25 00:00:00","1899-12-30 11:23:00","","Tamara Elliot","7.10","7.56","19.25",".907",".60","182","0","0",".01","250","22",".050",".800",".034",".03","","20.00","",".000","","","","NO ","NO ","NO ","NO ","Trash, gravel and limestone basin, green algae.","","","","","","","","{2E7E20EA-CF62-4F95-96F2-E069A634C0EA}"
"316","","art b","2004-05-25 00:00:00","1899-12-30 11:01:00","","Tamara Elliot","7.80","9.00","21.83",".696",".50","180","2","6",".02","250","359",".050",".320",".015",".05","","20.00","",".000","","","","NO ","NO ","NO ","NO ","Trash present, green and brown algae, limestone basin.","","","","","","","","{FB2A1085-D281-4BBA-BEDD-3DCBC1BB17F2}"
"317","","art a","2004-05-25 00:00:00","1899-12-30 10:33:00","","Tamara Elliot","8.09","9.27","24.14",".882",".60","185","79","85",".03","250","11",".360",".100",".010","2.16","","20.00","",".000","","","","NO ","NO ","NO ","NO ","Green hair algae, little trash, dirt basin, new rock added to creek area.","","","","","","","","{3F5DA062-159A-4E8E-883D-73106287F1CD}"
"318","","ogu a","2004-05-25 00:00:00","1899-12-30 10:12:00","","Tamara Elliot","7.80","8.35","22.72",".742",".50","190","6","5",".12","250","11",".110",".320",".013",".24","","20.00","",".000","","","","NO ","NO ","NO ","NO ","Some fish, dirt basin, trash present.","","","","","","","","{DDD66564-14CF-4792-A489-D5BAD3D3C8B7}"
"331","","ten c","2004-06-18 00:00:00","1899-12-30 10:58:00","","Tamara Elliot","7.89","8.62","27.19",".540",".40","246","0","1",".13","200","251",".150",".100",".010",".02","","20.00","",".000","","","","NO ","NO ","NO ","NO ","High chlorine, some fish, trash, gravel basin.","","","","","","","","{3595385D-7AF6-4E72-B702-1577179CA01F}"
"332","","ric c","2004-06-18 00:00:00","1899-12-30 10:22:00","","Tamara Elliot","7.45","5.74","24.59",".574",".40","250","8","12",".00","120","392",".300",".100",".010",".05","","20.00","",".000","","","","NO ","NO ","NO ","NO ","large fish present, dirt basin, trash present.","","","","","","","","{214F3F17-DBD6-49B3-AA16-14042F923977}"
"333","","woo a","2004-06-18 00:00:00","1899-12-30 09:59:00","","Tamara Elliot","7.52","7.58","26.29",".590",".40","245","0","0",".06","200","52",".150",".100",".010",".03","","20.00","",".000","","","","NO ","NO ","NO ","NO ","Green algae, trash present, limestone basin, ducks present.","","","","","","","","{FADE0C3A-5388-43C4-A9FA-5B39043A24F5}"
"334","","woo b","2004-06-18 00:00:00","1899-12-30 09:37:00","","Tamara Elliot","7.52","6.34","24.57",".598",".40","245","4","0",".05","200","107",".150",".100",".010",".07","","20.00","",".000","","","","NO ","NO ","NO ","NO ","trash , brown algae, large and small fish, limestone basin.","","","","","","","","{9F849C4D-5D08-4BB4-9ED8-072B0E03B930}"
"335","","cro b","2004-06-18 00:00:00","1899-12-30 09:17:00","","Tamara Elliot","7.73","6.86","22.97",".625",".40","242","9","7",".02","200","95",".150",".100",".010",".22","","20.00","",".000","","","","NO ","NO ","NO ","NO ","Fish present, brown algae, trash, limestone basin.","","","","","","","","{46BBF87E-8C63-4695-B56F-76E2D3163555}"
