"WET_WEATHER_SAMPLING_ID","EMPLOYEE_ID","EMPLOYEE_NAME","SITE_ID","SITE_COMMON_NAME","SAMPLE_DATE","SAMPLE_TIME","TEMPERATURE","CONDUCTIVITY","DO","PH","TOT_DISSOLVED_SOLID","TURBIDITY","TOT_SUSPENDED_SOLID","CHLORINE","HARDNESS","CHEM_OXYGEN_DEMAND","NITRITE","NITRATE","FECAL_COLIFORM","PHOSPHOROUS","LEAD","IRON","COPPER","ALUMINUM","CHROMIUM_HEXAVALENT","MOLYBDENUM","SULPHATE","FLUORIDE","DETERGENT","NICKEL","FREE_CHLORINE","CADMIUM","TOTAL_CHROMIUM","MANGANESE","OIL_OR_GREASE","SILVER","ZINC","TPH","BOD","FLOATABLES","OIL_SHEEN","LEAVES","GRASS_CLIPPINGS","SEWAGE_PRESENT","SEWAGE_ODOR","SOLVENT_ODOR","PETROLEUM_ODOR","FISH_ODOR","OTHER_ODOR","COMMENTS","AMMONIA","E_COLI","NITRATE_NITRITE","ROWID"
"232","","Cesar Cavazos","","UMWR1","2004-08-19 00:00:00","60 Time","25.74",".581","6.43","7.57",".40","89.00","60",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","Few","None","None","None","None","No","No","No","No","No","","","","","{F4359617-BC88-4E79-AFB4-0C82A6FE847A}"
"233","","Cesar Cavazos","","UMWR1","2004-08-19 00:00:00","Thirty Time","25.76",".584","6.30","7.57",".40","212.00","98",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","Few","None","None","None","None","No","No","No","No","No","","","","","{160483AA-CC92-4BE5-8C09-358F1066BDF8}"
"234","","Cesar Cavazos","","UMWR1","2004-08-19 00:00:00","Fifteen Time","25.76",".601","6.21","7.55",".40","240.00","130",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","Moderate","None","Few","None","None","No","No","No","No","No","","","","","{61028994-37EC-43CD-A649-22F1EB20E9AC}"
"235","","Cesar Cavazos","","UMWR1","2004-08-19 00:00:00","Zero Time","25.77",".628","6.09","7.54",".40","290.00","179",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","Few","None","None","None","None","No","No","No","No","No","","","","","{A19F46CE-3AFE-4C8C-8F5D-740DEE9E7DB9}"
"236","","Cesar Cavazos","","UMWR1","2004-08-19 00:00:00","Background","25.60",".501","6.43","7.01",".40","17.00","27",".18","120","20.00",".02",".38","",".890","",".320",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","",".110","","","{86E9B986-2E89-4354-80C9-4D09B1D7F3A3}"
"237","","Cesar Cavazos","","UMWR1","2004-07-28 00:00:00","60 Time","25.61",".243","8.03","8.03",".20","482.00","558",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","Few","None","None","None","None","No","No","No","No","No","","","","","{292D12CF-FCE8-4898-B3CF-EBEEF6AB1407}"
"238","","Cesar Cavazos","","UMWR1","2004-07-28 00:00:00","45 Time","25.73",".313","8.25","7.76",".20","284.00","312",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","Few","None","None","None","None","No","No","No","No","No","","","","","{C83E0E5C-9788-4186-B54A-F63821D0BB5B}"
"239","","Cesar Cavazos","","UMWR1","2004-07-28 00:00:00","Thirty Time","25.45",".428","7.93","7.77",".30","92.00","105",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","Few","None","Few","None","None","No","No","No","No","No","","","","","{81E00154-C5F2-455A-8926-46B51A52BAE7}"
"240","","Cesar Cavazos","","UMWR1","2004-07-28 00:00:00","Fifteen Time","25.35",".428","7.15","7.56",".30","117.00","133",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{4733AD53-0886-45BC-B0EE-9B5B2F546CCD}"
"241","","Cesar Cavazos","","UMWR1","2004-07-28 00:00:00","Zero Time","25.93",".595","7.32","7.84",".40","75.00","81",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{8218F7BD-D03A-4AED-8E0A-4F11DFD9D3D8}"
"242","","Cesar Cavazos","","UMWR1","2004-07-28 00:00:00","First Flush","25.05",".597","6.96","7.77",".40","39.00","44",".00","200","23.90",".03",".18","","1.010","",".610",".010","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","",".090","","","{F3AE8E85-6B09-4932-A5BD-102BD47E0B58}"
"243","","Cesar Cavazos","","UMWR1","2004-07-28 00:00:00","Background","26.05",".597","7.09","7.80",".40","38.00","38",".00","200","20.00",".03",".30","",".860","",".290",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","",".000","","","{EC87D0DA-089E-4EBE-8BB4-3D190A26F73C}"
"244","","Carlton Eurey","","UWRC1","2004-11-14 00:00:00","60 Time","12.67",".711","9.60","9.00",".50","40.00","40",".00","250","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{9DA7793D-1AAF-44D6-B80D-7313FA1354D0}"
"245","","Carlton Eurey","","UWRC1","2004-11-14 00:00:00","45 Time","12.67",".711","9.60","9.10",".50","40.00","42",".00","250","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{D2CCEC7A-3E78-4BDD-9070-F2FEB03B4640}"
"246","","Carlton Eurey","","UWRC1","2004-11-14 00:00:00","Thirty Time","12.67",".711","9.51","9.01",".50","40.00","42",".00","250","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{A2716730-1EDD-4B23-9226-1678F9CCE1AA}"
"247","","Carlton Eurey","","UWRC1","2004-11-14 00:00:00","Fifteen Time","12.89",".714","9.62","9.28",".50","40.00","42",".00","250","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{93321E4B-33F2-4806-BFBC-7FBA806D3138}"
"248","","Carlton Eurey","","UWRC1","2004-11-14 00:00:00","Zero Time","12.65",".723","9.64","9.19",".50","40.00","42",".00","250","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{D8DB04F1-0A1D-4729-911E-8DAEF7C11091}"
"249","","Carlton Eurey","","UWRC1","2004-11-14 00:00:00","First Flush","12.76",".749","9.54","9.19",".50","38.00","40",".00","200","31.10",".17",".95","","1.750","",".360",".500","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","",".500","","","{0C410487-23A5-4D3B-85BE-D0D356463DCB}"
"250","","Cesar Cavazos","","UWRC1","2004-11-14 00:00:00","Background","12.87",".639","11.02","7.78",".40","14.00","13",".00","200","20.00",".01","1.06","",".740","",".160",".010","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","",".100","","","{48E97729-53A8-4A2A-BB55-635CC193C948}"
"251","","Cesar Cavazos","","UWRC1","2004-10-03 00:00:00","60 Time","19.98",".263","8.81","7.24",".20","179.00","203",".00","100","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{FE40A5BB-CC8C-4F1E-A5C8-6CF5265EF4C9}"
"252","","Cesar Cavazos","","UWRC1","2004-10-03 00:00:00","45 Time","20.01",".261","7.88","7.27",".20","181.00","208",".00","100","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{134C0FC1-A13D-42A9-B4F3-27ED983CCE9A}"
"253","","Cesar Cavazos","","UWRC1","2004-10-03 00:00:00","Fifteen Time","20.10",".263","7.50","7.29",".30","188.00","215",".03","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{2521B879-3D03-42BD-B60E-9FF60DB1DB12}"
"254","","Cesar Cavazos","","UWRC1","2004-10-03 00:00:00","Zero Time","20.90",".301","7.50","7.31",".30","195.00","215",".00","150","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{FB0EEACB-81FD-49A1-8A7B-60F7F72412AE}"
"255","","Cesar Cavazos","","UWRC1","2004-10-03 00:00:00","Background","21.60",".536","6.55","7.38",".30","29.00","34",".00","120","20.00",".02","1.78","",".910","",".110",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","",".210","","","{638F6A5A-70A1-4C0A-A876-AD6579815769}"
"256","","Cesar Cavazos","","LBAC1","2004-04-06 00:00:00","60 Time","17.56",".574","7.46","8.71",".40","20.00","19",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","Few","None","None","None","None","No","No","No","No","No","","","","","{0B09553F-FF41-4882-B2D7-12BC0C6F05DA}"
"257","","Cesar Cavazos","","LBAC1","2004-04-06 00:00:00","45 Time","17.62",".572","7.62","8.71",".40","32.00","25",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{9C4C72DC-0B26-40AD-8BE8-25B01886FB7B}"
"258","","Cesar Cavazos","","LBAC1","2004-04-06 00:00:00","Thirty Time","17.60",".585","8.16","8.71",".40","35.00","43",".00","250","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{659127C0-B1A6-43E2-BE32-255D20770563}"
"259","","Cesar Cavazos","","LBAC1","2004-04-06 00:00:00","Fifteen Time","8.71",".573","7.32","8.71",".40","26.00","30",".00","250","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{1E0B2556-BAEC-46AE-993B-91F903933F82}"
"260","","Cesar Cavazos","","LBAC1","2004-04-06 00:00:00","Zero Time","7.71",".572","6.05","8.71",".40","26.00","16",".00","250","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{726AF5CC-E258-414A-9843-F8B8681F1B37}"
"261","","Cesar Cavazos","","LBAC1","2004-04-06 00:00:00","First Flush","17.93",".569","6.47","8.71",".40","39.00","38",".00","250","20.00",".03",".51","",".270","",".450",".120","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","",".300","","","{93A8505F-F42C-4C19-B896-5B7CF9A32579}"
"262","","Cesar Cavazos","","LBAC1","2004-04-06 00:00:00","Background","18.70",".571","6.01","8.70",".40","20.00","10",".00","200","20.00",".03",".52","",".270","",".450",".120","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","",".300","","","{BB017904-DB2D-43EF-AF34-6CE1A9A038CA}"
"263","","Cesar Cavazos","","UBAC1","2004-02-29 00:00:00","60 Time","24.40",".671","6.40","8.70",".40","44.00","42",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{1FE07F32-44BA-4151-AA0F-CC8FC365C506}"
"264","","Cesar Cavazos","","UBAC1","2004-02-29 00:00:00","45 Time","24.41",".671","6.33","8.70",".40","49.00","47",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{7535F42F-9166-45D8-A80B-166933DDB575}"
"265","","Cesar Cavazos","","UBAC1","2004-02-29 00:00:00","Thirty Time","24.40",".674","6.34","8.72",".40","46.00","45",".02","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{05C3A87F-50F9-4F99-B901-D0DFA9323777}"
"266","","Cesar Cavazos","","UBAC1","2004-02-29 00:00:00","Zero Time","24.41",".669","6.30","8.71",".40","45.00","40",".00","150","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{E423F911-024C-49F7-9C39-426C4FDD78E9}"
"267","","Cesar Cavazos","","UBAC1","2004-02-29 00:00:00","First Flush","24.49",".671","6.31","8.71",".40","44.00","41",".00","150","30.90",".01","1.67","",".120","","1.900",".010","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","",".240","","","{83D72322-95F3-460E-A18B-ED90E28E9C1D}"
"268","","Cesar Cavazos","","LBAC1","2004-04-10 00:00:00","60 Time","15.40",".571","8.74","7.78",".40","69.00","66",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{40E46B2E-C751-40CB-B5B2-29D99BC3CE63}"
"269","","Cesar Cavazos","","LBAC1","2004-04-10 00:00:00","45 Time","15.40",".571","8.57","7.77",".40","68.00","65",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{F5A053AE-057D-41B3-B9C1-DF4836F604A2}"
"270","","Cesar Cavazos","","LBAC1","2004-04-10 00:00:00","Zero Time","15.48",".601","8.53","7.79",".40","59.00","61",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{5D1C1ADF-D2C8-4C31-900F-453F81AAA167}"
"271","","Cesar Cavazos","","LBAC1","2004-04-10 00:00:00","First Flush","15.53",".568","8.41","7.78",".40","54.00","58",".00","120","52.50",".03",".37","",".170","","10.800",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","",".100","","","{0D91D9B8-5346-4D70-AFF5-67DFBF3C54B6}"
"272","","Cesar Cavazos","","UBAC1","2004-02-23 00:00:00","60 Time","13.79",".444","8.68","8.60",".30","110.00","119",".04","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{4B0469DE-8763-4684-BA5D-E6D59E29F18A}"
"273","","Cesar Cavazos","","UBAC1","2004-02-23 00:00:00","45 Time","13.78",".477","8.63","8.98",".30","130.00","141",".04","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{D5791079-F2C7-4D93-A3CB-2BCA3FC39BDB}"
"274","","Cesar Cavazos","","UBAC1","2004-02-23 00:00:00","Thirty Time","13.94",".667","8.71","9.72",".40","55.00","64",".08","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{099668F4-C335-4806-8731-C0324C5DD390}"
"275","","Cesar Cavazos","","UBAC1","2004-02-23 00:00:00","First Flush","13.49",".633","9.55","9.73",".40","76.00","89",".00","200","58.60",".21",".24","",".670","","3.420",".020","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","",".000","","","{679D42D0-CD7B-4988-A29B-2EB355F82953}"
"276","","Cesar Cavazos","","UBAC1","2004-02-29 00:00:00","Background","25.03",".659","5.45","8.54",".40","15.00","14",".00","120","20.00",".01","2.09","",".050","",".050",".100","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","",".140","","","{FCE85F74-F33F-4CCF-8BE1-AFC15A8C4F09}"
"277","","Cesar Cavazos","","UBAC1","2004-02-23 00:00:00","Background","13.92",".725","12.90","9.50",".40","12.00","4",".00","250","20.00",".08",".26","",".110","",".260",".010","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","",".100","","","{43508A6D-9F1A-492A-A0E5-8AF6D771231D}"
"278","","Cesar Cavazos","","UBAC1","2004-02-23 00:00:00","Fifteen Time","14.00",".630","9.48","9.71",".66","58.00","66",".12","250","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{A1DB6DE5-8F78-489F-A97B-32384FEF4073}"
"279","","Cesar Cavazos","","LWRC1","2004-11-17 00:00:00","Composite","","","","","","","","","","48.00",".01",".44","",".050","","3.500",".010","","","","","","","","","","","","","","","","","","","","","","","","","","","",".250","","","{103BA281-8982-4B03-87DD-3D18AC26FA02}"
"280","","Cesar Cavazos","","UMWR1","2004-08-19 00:00:00","Composite","","","","","","","","","","51.10",".03",".06","","1.830","","3.880",".000","","","","","","","","","","","","","","","","","","","","","","","","","","","",".010","","","{E4D8DF06-2B9C-4387-BE05-E0338BC30E66}"
"281","","Cesar Cavazos","","LWRC1","2004-10-22 00:00:00","Composite","","","","","","","","","","25.00",".01",".16","",".380","","1.440",".000","","","","","","","","","","","","","","","","","","","","","","","","","","","",".140","","","{5724CEE1-3309-41E6-AA6E-3AE5511D56EE}"
"282","","Cesar Cavazos","","UWRC1","2004-07-28 00:00:00","Composite","","","","","","","","","","55.30",".02",".11","","1.180","","3.800",".010","","","","","","","","","","","","","","","","","","","","","","","","","","","",".160","","","{89A0CB3F-56AB-42E1-9025-B67680816ECC}"
"283","","Cesar Cavazos","","UBAC1","2004-02-23 00:00:00","Composite","","","","","","","","","","26.10",".01",".20","",".420","","2.580",".010","","","","","","","","","","","","","","","","","","","","","","","","","","","",".100","","","{105EA48F-8B67-4461-ADF7-466FEEF8BCD2}"
"284","","Cesar Cavazos","","UBAC1","2004-02-29 00:00:00","Composite","","","","","","","","","","26.20",".01","2.45","",".130","","1.380",".010","","","","","","","","","","","","","","","","","","","","","","","","","","","",".220","","","{3E3FFDC3-DD39-4264-9981-ED5B81B717FD}"
"285","","Cesar Cavazos","","LBAC1","2004-04-06 00:00:00","Composite","","","","","","","","","","20.00",".03",".50","",".280","",".550",".020","","","","","","","","","","","","","","","","","","","","","","","","","","","",".220","","","{FC2528CB-4C56-471E-B801-A09B1FD643C0}"
"286","","Cesar Cavazos","","LBAC1","2004-04-11 00:00:00","Composite","","","","","","","","","","27.90",".03",".37","",".060","","2.400",".000","","","","","","","","","","","","","","","","","","","","","","","","","","","",".140","","","{FC2663F3-BD1E-43CF-8BAA-68340336B270}"
"287","","Cesar Cavazos","","CEDR1","2004-05-11 00:00:00","Composite","","","","","","","","","","47.10",".01","1.07","",".580","","1.530",".010","","","","","","","","","","","","","","","","","","","","","","","","","","","",".100","","","{12776A20-0706-4CBB-8B76-167141D7FA97}"
"288","","Cesar Cavazos","","CEDR1","2004-04-29 00:00:00","Composite","","","","","","","","","","20.00",".02","1.41","",".190","","1.120",".000","","","","","","","","","","","","","","","","","","","","","","","","","","","",".300","","","{FA02397D-2F02-450D-930C-ADCA5D79406B}"
"289","","Lawrence Cantos","","ELAM1","2004-11-17 00:00:00","Composite","","","","","","","","","","20.00",".01",".12","",".190","",".440",".000","","","","","","","","","","","","","","","","","","","","","","","","","","","",".100","","","{FCA69EC2-7DD1-43EB-9EAA-841664AEA0DA}"
"290","","Tamara Elliott","","ELAM1","2004-10-22 00:00:00","Composite","","","","","","","","","","60.60",".01",".09","","1.040","","1.610",".000","","","","","","","","","","","","","","","","","","","","","","","","","","","",".220","","","{47638F0D-B38D-492F-837F-E5CEE0747FA0}"
"291","","Carlton Eurey","","UWRC1","2004-11-14 00:00:00","Composite","","","","","","","","","","29.10",".15",".95","","1.450","",".360",".500","","","","","","","","","","","","","","","","","","","","","","","","","","","",".500","","","{8033B2C3-A020-4D95-BF60-28774E513569}"
"292","","Cesar Cavazos","","UWRC1","2004-10-03 00:00:00","Composite","","","","","","","","","","44.50",".02","1.93","","1.320","","4.390",".010","","","","","","","","","","","","","","","","","","","","","","","","","","","",".600","","","{0F7C22B4-73C2-49F6-AC3B-CD72949893A1}"
"301","","Cesar Cavazos","","UFIV1","2005-03-26 00:00:00","60 Time","15.08",".429","7.07","7.32",".30","149.00","163",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{20C15C65-76B6-49A4-A296-21C04DF753F7}"
"302","","Cesar Cavazos","","UFIV1","2005-03-26 00:00:00","45 Time","15.14",".457","6.95","7.38",".30","95.00","110",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{EE37640F-8EB2-497F-BB9E-971A4AB3A638}"
"303","","Cesar Cavazos","","UFIV1","2005-03-26 00:00:00","Thirty Time","14.66",".401","7.18","7.31",".30","142.00","151",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{7A0848DD-7CF9-4B18-9203-57988A88D979}"
"304","","Cesar Cavazos","","UFIV1","2005-03-26 00:00:00","Fifteen Time","14.69",".421","6.96","7.28",".30","165.00","181",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{087456F3-ACB2-46B9-A123-B093DB578230}"
"305","","Cesar Cavazos","","UFIV1","2005-03-26 00:00:00","Zero Time","14.70",".433","7.38","7.23",".30","147.00","148",".17","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{7E82F488-8F4B-4C49-AFA4-831AF94ADE64}"
"306","","Cesar Cavazos","","UFIV1","2005-03-26 00:00:00","First Flush","14.90",".483","7.93","7.26",".30","65.00","62",".18","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{AECB24F2-646F-44F8-94E8-C6C60DB9F2C1}"
"307","","Cesar Cavazos","","UFIV1","2005-03-25 00:00:00","Background","23.19",".594","9.69","7.50",".40","5.00","17",".97","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{FB973F4B-795D-471D-8F79-1C714C1237BB}"
"308","","Cesar Cavazos","","UFIV1","2005-02-23 00:00:00","60 Time","17.21",".446","6.90","7.23",".30","97.00","113",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{0B1670E3-F6F9-412C-85E6-BD73547AE6E3}"
"309","","Cesar Cavazos","","UFIV1","2005-02-23 00:00:00","45 Time","17.13",".513","7.11","7.25",".30","77.00","83",".01","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{4A725578-EA2A-4323-B8B4-044ADC679086}"
"310","","Cesar Cavazos","","UFIV1","2005-02-23 00:00:00","Thirty Time","17.23",".490","7.03","7.23",".30","32.00","47",".05","180","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{ECC36B54-B35A-4518-AE34-89633BB92D1D}"
"311","","Cesar Cavazos","","UFIV1","2005-02-23 00:00:00","Fifteen Time","17.26",".376","7.05","7.24",".20","60.00","54",".23","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{DBBD9EE9-02E7-4F2D-B50A-5736DA2DB3D6}"
"312","","Cesar Cavazos","","UFIV1","2005-02-23 00:00:00","Zero Time","15.52",".275","6.53","7.12",".20","163.00","107",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{554C1BC8-1EB4-4D0A-A440-A97B51EA589F}"
"313","","Cesar Cavazos","","UFIV1","2005-02-23 00:00:00","First Flush","17.19",".273","6.54","7.08",".20","110.00","115",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{F0775505-AA69-49E6-9B91-80E69ABD8D60}"
"314","","Cesar Cavazos","","UFIV1","2005-02-23 00:00:00","Background","15.51",".627","11.11","7.58",".40","5.00","7",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{24E10315-D567-43C8-B822-9D246CE44404}"
"315","","Cesar Cavazos","","LFMC2","2005-02-12 00:00:00","60 Time","11.57",".622","8.65","7.36",".40","17.00","30",".01","200","","","","","","","","","","","","","","","","","","","","","","","","","Severe","None","Few","Few","None","No","No","No","No","No","","","","","{58AA347D-064C-4CC5-ACE5-E50B2E87EDDC}"
"316","","Cesar Cavazos","","LFMC2","2005-02-12 00:00:00","45 Time","11.52",".624","8.48","7.36",".40","11.00","11",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","Severe","None","Few","Few","None","No","No","No","No","No","","","","","{642A7269-A678-41A2-94E3-70CFFAF6DFDE}"
"317","","Cesar Cavazos","","LFMC2","2005-02-12 00:00:00","Thirty Time","11.53",".621","8.64","7.35",".40","13.00","15",".01","200","","","","","","","","","","","","","","","","","","","","","","","","","Severe","None","Few","Few","None","No","No","No","No","No","","","","","{B372153F-2616-4B99-9919-5D5B49DF1A77}"
"318","","Cesar Cavazos","","LFMC2","2005-02-12 00:00:00","Fifteen Time","11.48",".622","8.68","7.34",".40","24.00","34",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","Severe","None","Few","Few","None","No","No","No","No","No","","","","","{D414C5AB-FE43-4909-B0E6-A92DAEF3DF2B}"
"319","","Cesar Cavazos","","LFMC2","2005-02-12 00:00:00","Zero Time","11.45",".621","8.82","7.34",".40","9.00","9",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","Severe","None","Moderate","Few","None","No","No","No","No","No","","","","","{5EAFCBB7-97C3-4A8E-8A66-C0CA86FF1671}"
"320","","Cesar Cavazos","","LFMC2","2005-02-12 00:00:00","First Flush","11.46",".619","8.48","7.42",".40","37.00","38",".00","150","","","","","","","","","","","","","","","","","","","","","","","","","Severe","None","Moderate","None","None","No","No","No","No","No","","","","","{8D76AC58-3D5C-4852-B56C-899F093B79E1}"
"321","","Cesar Cavazos","","LFMC2","2005-02-12 00:00:00","Background","11.10",".629","8.23","7.37",".40","6.00","9",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","Yes","No","No","12:30pm","","","","{4C91373B-D1FF-4F0C-9708-CC63D49C7B45}"
"322","","Cesar Cavazos","","LFMC2","2005-01-27 00:00:00","60 Time","11.10",".685","8.52","7.42",".40","73.00","75","2.00","150","","","","","","","","","","","","","","","","","","","","","","","","","Few","None","Few","Few","None","No","No","No","No","No","1:45pm","","","","{6AB143AA-9032-4247-B103-3DAA6B108EF1}"
"323","","Cesar Cavazos","","LFMC2","2005-01-27 00:00:00","45 Time","11.11",".687","8.54","7.43",".40","71.00","78",".00","150","","","","","","","","","","","","","","","","","","","","","","","","","Few","Few","Few","Few","None","No","No","No","No","No","1:30pm","","","","{B3A04764-D336-4A10-BBE8-1CF78E3F514D}"
"324","","Cesar Cavazos","","LFMC2","2005-01-27 00:00:00","Thirty Time","11.10",".688","8.55","7.43",".40","75.00","77",".00","150","","","","","","","","","","","","","","","","","","","","","","","","","Few","None","Few","Few","None","No","No","No","No","No","1:15pm","","","","{97B1BC58-9CFA-4F95-A814-929E75FC67E0}"
"325","","Cesar Cavazos","","LFMC2","2005-01-27 00:00:00","Fifteen Time","11.10",".688","8.56","7.46",".40","78.00","79",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","Few","None","Few","Few","None","No","No","No","No","Yes","1:00pm","","","","{DA05A70E-784E-481B-93BB-8F21FB692117}"
"326","","Cesar Cavazos","","LFMC2","2005-01-27 00:00:00","Zero Time","11.08",".690","8.55","7.45",".40","80.00","82",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","Few","None","Few","Few","None","No","No","No","No","No","12:45pm","","","","{377C2CEE-418C-4CF9-BD44-34A44127F573}"
"327","","Cesar Cavazos","","LFMC2","2005-01-27 00:00:00","First Flush","11.02",".689","8.57","7.47",".40","79.00","81",".00","250","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","12:30pm  -1st Flush sample","","","","{0CFC3C64-F245-415E-9D7D-01ED3BF46588}"
"328","","Cesar Cavazos","","LFMC2","2005-01-27 00:00:00","Background","11.00",".667","8.61","7.32",".40","8.00","12",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","10:45am-Background sample","","","","{1B455621-E80B-4D2D-9AD0-B024C6340CC4}"
"329","","Cesar Cavazos","","COOM1","2005-01-27 00:00:00","60 Time","11.47",".631","10.04","7.76",".40","49.00","70",".05","200","","","","","","","","","","","","","","","","","","","","","","","","","Few","None","Few","None","None","No","No","No","No","No","1:20pm","","","","{407F47FC-31FB-4F5A-8FF3-DC5436D8B5BF}"
