"SAMPLING_EVENTS_ID","CUSTODY_NUMBER","SWM_SITE_ID","SWM_SITE_NUMBER","SITE_ADDITIONAL_DESCRIPTION","PROGRAM_CATEGORY","SAMPLE_TYPE","MATRIX_TYPE","SWM_WATERSHED","HUC_12_WATERSHED","HUC_12_WATERSHED_NAME","LOCATION_DESCRIPTION","COLLECT_DATE","COLLECT_TIME","SAMPLER_NAME","DATE_ANALYZED","LATITUDE","LONGITUDE","COMMENTS","APPROVED_BY","DATE_LAB_DATA_RECVD","RECORD_CREATED","APPROVED_DATE","NUMBER_OF_CONTAINERS","TURN_AROUND_TIME","SAMPLES_FOR_LAB","MODIFIED_BY","HUC_12_SUBNAME","EVENT_COMMENT","DUPLICATE","HABITAT_SCORE","HABITAT_FLAG","LABORATORY","STREAM_LOCATION","GBA_SN_ID","FLOW_SEVERITY","DAYS_SINCE_LAST_RAINFALL","INSTANTANEOUS_FLOW","OUTFALL_NUM","ROWID"
"879","20110404-JP-3 E1","NWDA-3","","","LocalWetWeather","Grab","Water","NWDA","120301031007","Bachman Branch-Elm Fork Trinity River","10600 Luna Rd.","2011-04-04 00:00:00","2011-04-04 08:10:00","jonathan.pasley","2011-04-04 00:00:00","","","","","","2011-04-04 00:00:00","","8","Normal","True","","Bachman Branch-Elm Fork Trinity River - NWDAL","","","","","XENCO","","","","","","","{8918AFCF-286D-497E-B296-CA00F25A4DE1}"
"880","20110404-JP-4 E1","NWDA-3","","","LocalWetWeather","Composite","Water","NWDA","120301031007","Bachman Branch-Elm Fork Trinity River","10600 Luna Rd.","2011-04-04 00:00:00","2011-04-04 08:10:00","jonathan.pasley","2011-04-04 00:00:00","","","","","","2011-04-04 00:00:00","","8","Normal","True","","Bachman Branch-Elm Fork Trinity River - NWDAL","","","","","XENCO","","","","","","","{CF9B17DE-D8C7-43EB-9520-A8E2B5556F58}"
"881","20110404-JP-5 E1","NWDA-2","","","LocalWetWeather","Grab","Water","NWDA","120301031007","Bachman Branch-Elm Fork Trinity River","10430 Bickham Rd","2011-04-04 00:00:00","2011-04-04 08:30:00","jonathan.pasley","2011-04-04 00:00:00","","","","","","2011-04-04 00:00:00","","8","Normal","True","","Bachman Branch-Elm Fork Trinity River - NWDAL","","","","","XENCO","","","","","","","{8667DCF8-F01B-48B2-97C8-D6AA45AB7727}"
"901","20110407-JH-1","mcc-a","","","Bioassessment","Grab","Water","WRDM","120301050105","White Rock Creek-White Rock Lake","3605 w lawther rd","2011-04-07 00:00:00","2011-04-07 09:08:00","jennifer.harvey","2011-04-07 00:00:00","","","","","","2011-04-07 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{5833F0C5-CC18-4D22-9F7D-0BC2282F0FF4}"
"902","20110407-JH-2","wil-a","","","Bioassessment","Grab","Water","WRDM","120301050105","White Rock Creek-White Rock Lake","3800 branchfield dr","2011-04-07 00:00:00","2011-04-07 09:30:00","jennifer.harvey","2011-04-07 00:00:00","","","","","","2011-04-07 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{CB3875F8-9E53-4429-97C0-B5E9D2718712}"
"903","20110407-JH-2_dup","wil-a","","","Bioassessment","Grab","Water","WRDM","120301050105","White Rock Creek-White Rock Lake","3800 branchfield dr","2011-04-07 00:00:00","2011-04-07 09:30:00","jennifer.harvey","2011-04-07 00:00:00","","","","","","2011-04-07 00:00:00","","3","Normal","True","jennifer.harvey","","","True","","","XENCO","","","","","","","{CC22A1F0-BFB1-4806-90C7-B4E01D7F3C52}"
"904","20110407-JH-3","ash-a","","","Bioassessment","Grab","Water","LWRC","120301050106","City of Dallas-White Rock Creek","1802 highland rd","2011-04-07 00:00:00","2011-04-07 10:09:00","jennifer.harvey","2011-04-07 00:00:00","","","","","","2011-04-07 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{7F3E46BC-655D-4D33-A4D2-A96C0C2F6C57}"
"905","20110407-JH-4","whc-a","","","Bioassessment","Grab","Water","LWRC","120301050106","City of Dallas-White Rock Creek","5055 Scyene Road","2011-04-07 00:00:00","2011-04-07 10:45:00","jennifer.harvey","2011-04-07 00:00:00","","","","","","2011-04-07 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{73C0BC10-7C62-462F-AEBE-E4B541E67559}"
"906","20110407-JH-5","ric-b","","","Bioassessment","Grab","Water","UFIV","120301050107","Headwaters  Fivemile Creek","530 e camp wisdom rd","2011-04-07 00:00:00","2011-04-07 00:40:00","jennifer.harvey","2011-04-07 00:00:00","","","","","","2011-04-07 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{FCC22699-EA46-4EF2-A3AA-543E047663BA}"
"907","20110407-JH-6","par-a","","","Bioassessment","Grab","Water","PARS","0","0","1700 malloy bridge rd","2011-04-07 00:00:00","2011-04-07 13:40:00","jennifer.harvey","2011-04-07 00:00:00","","","","","","2011-04-07 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{39A2154B-901D-42FD-8906-35E9A489ADB6}"
"921","20110411-JP-1 E1","NWDA-1","","","LocalWetWeather","Grab","Water","NWDA","120301031007","Bachman Branch-Elm Fork Trinity River","2300 W. Northwest Hwy","2011-04-11 00:00:00","2011-04-11 02:35:00","jonathan.pasley","2011-04-11 00:00:00","","","","","","2011-04-12 00:00:00","","9","Normal","True","","","","","","","XENCO","","","","","","","{B6922923-AAF0-4A24-9291-01511F0D5B56}"
"922","20110411-JP-2 E1","NWDA-1","","","LocalWetWeather","Composite","Water","NWDA","120301031007","Bachman Branch-Elm Fork Trinity River","2300 W. Northwest Hwy","2011-04-11 00:00:00","2011-04-11 03:10:00","jonathan.pasley","2011-04-11 00:00:00","","","","","","2011-04-12 00:00:00","","8","Normal","True","","","","","","","XENCO","","","","","","","{AC5CC2BB-5067-40D7-A378-04C5997C62EE}"
"923","20110414-JH-1","hic-d","","","Bioassessment","Grab","Water","PARS","120301050204","Hickory Creek-Parsons Slough","12201 CF Hawn Fwy","2011-04-14 00:00:00","2011-04-14 09:15:00","jennifer.harvey","2011-04-14 00:00:00","","","","","","2011-04-14 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{FC34E7A1-36A5-4551-A3BB-41B2F0FC1923}"
"924","20110414-JH-2","ATEN-1","","","Bioassessment","Grab","Water","ATEN","120301050204","Hickory Creek-Parsons Slough","3000 Jordan Valley","2011-04-14 00:00:00","2011-04-14 10:10:00","jennifer.harvey","2011-04-14 00:00:00","","","","","","2011-04-14 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{674B3DE0-B834-4E90-BE8D-801AE4CD6E1D}"
"925","20110414-JH-3","fiv-c","","","Bioassessment","Grab","Water","UFIV","120301050108","Five Mile Creek-Trinity River","5300 s lancaster rd","2011-04-14 00:00:00","2011-04-14 11:20:00","jennifer.harvey","2011-04-14 00:00:00","","","","","","2011-04-14 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{BF8BCE0E-06B0-4B19-BAE7-A39F5545EE77}"
"926","20110414-JH-4","woo-a","","","Bioassessment","Grab","Water","UFIV","120301050107","Headwaters  Fivemile Creek","829 w redbird ln","2011-04-14 00:00:00","2011-04-14 13:00:00","jennifer.harvey","2011-04-14 00:00:00","","","","","","2011-04-14 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{BF42AC4B-04C3-4878-A3E2-E9231A975043}"
"927","20110414-JH-5_dup","ceb-b","","","Bioassessment","Grab","Water","DAEB","120301050101","Headwaters Turtle Creek","260 E Clarendon","2011-04-14 00:00:00","2011-04-14 13:38:00","jennifer.harvey","2011-04-14 00:00:00","","","","","","2011-04-14 00:00:00","","3","Normal","True","jennifer.harvey","","","True","","","XENCO","","","","","","","{EB471657-E5AC-475D-B77E-5DD4464FFB9C}"
"928","20110414-JH-5","ceb-b","","","Bioassessment","Grab","Water","DAEB","120301050101","Headwaters Turtle Creek","260 E Clarendon","2011-04-14 00:00:00","2011-04-14 13:38:00","jennifer.harvey","2011-04-14 00:00:00","","","","","","2011-04-14 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{11945BA0-C659-4C0D-8842-BAAD37F1F0EE}"
"929","20110414-JP-1","DAEB-1","","","Bioassessment","Grab","Water","DAEB","120301050101","Headwaters Turtle Creek","1100 Conveyor, Hampton Pump Station","2011-04-14 00:00:00","2011-04-14 10:45:00","jonathan.pasley","2011-04-14 00:00:00","","","","","","2011-04-15 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{B06AE890-D836-479E-A2D3-DDD137DDD551}"
"930","20110414-JP-2","fil-a","","","Bioassessment","Grab","Water","DAWB","120301050102","Turtle Creek-Trinity River","3680 holystone st","2011-04-14 00:00:00","2011-04-14 11:10:00","jonathan.pasley","2011-04-14 00:00:00","","","","","","2011-04-15 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{877AD20C-A6FF-4491-BB8E-AED7CC9B2557}"
"931","20110414-JP-3","CBD-2","","","Bioassessment","Grab","Water","DAEB","120301050101","Headwaters Turtle Creek","311 S Riverfront Blvd(intersection w/ Reunion Blvd","2011-04-14 00:00:00","2011-04-14 09:57:00","jonathan.pasley","2011-04-14 00:00:00","","","","","","2011-04-15 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{6684808B-1E19-4CC6-B235-CDE927866BEB}"
"932","20110414-JP-4","lac-a","","","Bioassessment","Grab","Water","DAWB","120301050102","Turtle Creek-Trinity River","826 blaylock dr","2011-04-14 00:00:00","2011-04-14 11:35:00","jonathan.pasley","2011-04-14 00:00:00","","","","","","2011-04-15 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{75990F88-DEAC-4AAD-9395-07704F9B78BC}"
"933","20110414-JP-5","cec-a","","","Bioassessment","Grab","Water","CEDR","120301050102","Turtle Creek-Trinity River","208 moore st","2011-04-14 00:00:00","2011-04-14 00:00:00","jonathan.pasley","2011-04-14 00:00:00","","","","","","2011-04-15 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{0D2ECCF7-4558-4C2B-94E4-D88BE80F7DD9}"
"941","20110419-JH-1","spc-a","","","Bioassessment","Grab","Water","SPRC","120301060407","Pittman Creek-Spring Creek","41000 190 frwy","2011-04-19 00:00:00","2011-04-19 09:35:00","jennifer.harvey","2011-04-19 00:00:00","","","","","","2011-04-19 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{275A24EC-8E59-49BF-BA16-C3303988CC6B}"
"942","20110419-JH-2","lon-b","","","Bioassessment","Grab","Water","UDUC","120301060501","Duck Creek","3263 weathervane ln","2011-04-19 00:00:00","2011-04-19 10:25:00","jennifer.harvey","2011-04-19 00:00:00","","","","","","2011-04-19 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{87889554-CA90-444B-BE29-4075BB2F7866}"
"943","20110419-JH-3","PRAI-2","","","Bioassessment","Grab","Water","PRAI","120301050203","Upper Prairie Creek-Trinity River","9000 Military Pkwy","2011-04-19 00:00:00","2011-04-19 11:15:00","jennifer.harvey","2011-04-19 00:00:00","","","","","","2011-04-19 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{B6D642C4-A2EA-483B-8154-B5E7E4800D31}"
"944","20110419-JH-4","SDAL-1","","","Bioassessment","Grab","Water","SDAL","120301050108","Five Mile Creek-Trinity River","3700 Overton","2011-04-19 00:00:00","2011-04-19 12:35:00","jennifer.harvey","2011-04-19 00:00:00","","","","","","2011-04-19 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{28CEF5B7-B2BA-4A01-B10F-0DC2B2512177}"
"945","20110419-JH-5","lac-b","","","Bioassessment","Grab","Water","DAWB","120301050102","Turtle Creek-Trinity River","222 E 5th st","2011-04-19 00:00:00","2011-04-19 13:20:00","jennifer.harvey","2011-04-19 00:00:00","","","","","","2011-04-19 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{797B7512-F5B7-42B4-B822-9E25F9357EBB}"
"946","20110419-JH-5_dup","lac-b","","","Bioassessment","Grab","Water","DAWB","120301050102","Turtle Creek-Trinity River","222 E 5th st","2011-04-19 00:00:00","2011-04-19 13:20:00","jennifer.harvey","2011-04-19 00:00:00","","","","","","2011-04-19 00:00:00","","3","Normal","True","jennifer.harvey","","","True","","","XENCO","","","","","","","{4FE617A0-9B3C-470A-8879-17616B36524A}"
"947","20110418-JH-1","moc-b","","","Bioassessment","Grab","Water","MLCD","120301020606","Fish Creek-Mountain Creek Lake","8900 Camp Wisdom Rd","2011-04-18 00:00:00","2011-04-18 09:50:00","jennifer.harvey","2011-04-18 00:00:00","","","","","","2011-04-20 00:00:00","","3","Normal","True","","","","","","","XENCO","","","","","","","{5E75A121-AE98-46EE-A04B-5780AC3D508E}"
"948","20110418-JH-2","cro-a","","","Bioassessment","Grab","Water","UFIV","120301050107","Headwaters  Fivemile Creek","2306 five mile pkwy","2011-04-18 00:00:00","2011-04-18 10:45:00","jennifer.harvey","2011-04-18 00:00:00","","","","","","2011-04-20 00:00:00","","3","Normal","True","","","","","","","XENCO","","","","","","","{8D95E589-48CF-4134-A642-F85E16B5B20A}"
"949","20110418-JH-3","fiv-e","","","Bioassessment","Grab","Water","UFIV","120301050107","Headwaters  Fivemile Creek","3500 Walton Walker Blvd","2011-04-18 00:00:00","2011-04-18 11:15:00","jennifer.harvey","2011-04-18 00:00:00","","","","","","2011-04-20 00:00:00","","3","Normal","True","","","","","","","XENCO","","","","","","","{5934896D-D45F-42E5-9D74-66AE01927917}"
"950","20110418-JH-4","art-a","","","Bioassessment","Grab","Water","MLCD","120301020606","Fish Creek-Mountain Creek Lake","4200 mountain creek pkw","2011-04-18 00:00:00","2011-04-18 11:57:00","jennifer.harvey","2011-04-18 00:00:00","","","","","","2011-04-20 00:00:00","","3","Normal","True","","","","","","","XENCO","","","","","","","{52498318-00F2-4785-80EA-24AF28426739}"
"951","20110418-JH-5","ela-a","","","Bioassessment","Grab","Water","ELAM","120301050108","Five Mile Creek-Trinity River","7306 Gayglen Dr","2011-04-18 00:00:00","2011-04-18 12:50:00","jennifer.harvey","2011-04-18 00:00:00","","","","","","2011-04-20 00:00:00","","3","Normal","True","","","","","","","XENCO","","","","","","","{D16B6081-D7D8-4D86-9A12-9560C68869EE}"
"961","20110428-JH-1","DALW-3","","","Bioassessment","Grab","Water","DALW","120301050106","City of Dallas-White Rock Creek","3000 Hatcher","2011-04-28 00:00:00","2011-04-28 09:40:00","jennifer.harvey","2011-04-28 00:00:00","","","","","","2011-04-28 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{3F976207-6D5B-4450-9113-910654F54D9B}"
"962","20110428-JH-2","DAWB-3","","","Bioassessment","Grab","Water","DAWB","120301050102","Turtle Creek-Trinity River","200 E. Greenbriar,   Coomb Creek Pump Station","2011-04-28 00:00:00","2011-04-28 10:40:00","jennifer.harvey","2011-04-28 00:00:00","","","","","","2011-04-28 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{96F1AFE2-C0FE-48D3-8E7C-6AF852DD0005}"
"963","20110428-JH-3","DAEB-2","","","Bioassessment","Grab","Water","DAEB","120301050101","Headwaters Turtle Creek","2200 Irving Blvd, Baker Pump Station","2011-04-28 00:00:00","2011-04-28 11:30:00","jennifer.harvey","2011-04-28 00:00:00","","","","","","2011-04-28 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{F89CC024-360E-4EAA-9A46-D6F3F23E0A31}"
"964","20110428-JH-4","DELA-1","","","Bioassessment","Grab","Water","DELA","120301020706","Delaware Creek-West Fork Trinity River","1800 S. Walton Waker Blvd","2011-04-28 00:00:00","2011-04-28 12:20:00","jennifer.harvey","2011-04-28 00:00:00","","","","","","2011-04-28 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{037DE87C-D2BF-4029-915A-CB543A92788C}"
"981","20110510-JH-1","WDAL-1","","","Bioassessment","Grab","Water","WDAL","120301020706","Delaware Creek-West Fork Trinity River","3300 Walton Walker Blvd","2011-05-10 00:00:00","2011-05-10 10:20:00","jennifer.harvey","2011-05-10 00:00:00","","","","","","2011-05-10 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{992C9068-8B15-4876-9CE9-D7013DC2E448}"
"982","20110510-JH-2","LMOC-1","","","Bioassessment","Grab","Water","LMOC","120301020706","Delaware Creek-West Fork Trinity River","6400 Singleton Blvd","2011-05-10 00:00:00","2011-05-10 11:00:00","jennifer.harvey","2011-05-10 00:00:00","","","","","","2011-05-10 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{64BDED99-76DD-4C36-8D85-50062322DFFE}"
"983","20110510-JH-3","WDAL-2","","","Bioassessment","Grab","Water","WDAL","120301020706","Delaware Creek-West Fork Trinity River","1302 Morocco Ave","2011-05-10 00:00:00","2011-05-10 12:25:00","jennifer.harvey","2011-05-10 00:00:00","","","","","","2011-05-10 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{2CAC954E-51FE-42B8-9A6D-408A0609E120}"
"984","20110510-JH-4","CBD-1","","","Bioassessment","Grab","Water","DAEB","120301050101","Headwaters Turtle Creek","1007 McKinney Ave (Underneath Woodall Rogers Fwy)","2011-05-10 00:00:00","2011-05-10 14:12:00","jennifer.harvey","2011-05-10 00:00:00","","","","","","2011-05-10 00:00:00","","3","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{6BC4719B-1A6A-4CB0-A478-2082CBF5E91B}"
"1001","20110511-JP-1 E1","JOES-1","","","LocalWetWeather","Grab","Water","JOES","120301031007","Bachman Branch-Elm Fork Trinity River","2300 Stemmons Trail","2011-05-11 00:00:00","2011-05-11 16:15:00","huajun.chen","2011-05-11 00:00:00","","","","","","2011-05-12 00:00:00","","8","Normal","True","","","","","","","XENCO","","","","","","","{8C53945F-5FF8-4AE2-B29E-9CAE59A4F425}"
"1002","20110511-JP-2 E1","LBAC-1","","","LocalWetWeather","Grab","Water","LBAC","120301031007","Bachman Branch-Elm Fork Trinity River","9400 Harry Hines Blvd","2011-05-11 00:00:00","2011-05-11 17:20:00","huajun.chen","2011-05-11 00:00:00","","","","","","2011-05-12 00:00:00","","8","Normal","True","","","","","","","XENCO","","","","","","","{DE083C33-7A7F-45EE-83FF-39EAC5F5E2D6}"
"1003","20110511-JP-3 E1","LBAC-1","","","LocalWetWeather","Composite","Water","LBAC","120301031007","Bachman Branch-Elm Fork Trinity River","9400 Harry Hines Blvd","2011-05-11 00:00:00","2011-05-11 17:35:00","huajun.chen","2011-05-11 00:00:00","","","","","","2011-05-12 00:00:00","","8","Normal","True","","","","","","","XENCO","","","","","","","{E8E4B361-023E-4A07-B5A5-4AD5F03753FF}"
"1004","20110511-JP-4 E1","JOES-1","","","LocalWetWeather","Composite","Water","JOES","120301031007","Bachman Branch-Elm Fork Trinity River","2300 Stemmons Trail","2011-05-11 00:00:00","2011-05-11 16:40:00","huajun.chen","2011-05-11 00:00:00","","","","","","2011-05-12 00:00:00","","8","Normal","True","","","","","","","XENCO","","","","","","","{E19766E8-28F5-4E7B-AD25-77D621AC8585}"
"1005","20110511-JP-6 E1","UBAC-1","","","LocalWetWeather","Composite","Water","UBAC","120301031007","Bachman Branch-Elm Fork Trinity River","8900 Midway","2011-05-11 00:00:00","2011-05-11 18:30:00","huajun.chen","2011-05-11 00:00:00","","","","","","2011-05-13 00:00:00","","4","Normal","True","","","","","","","XENCO","","","","","","","{896B3D3E-0217-4F45-BA73-6B36ACADF2A3}"
"1006","20110511-JP-5 E1","UBAC-1","","","LocalWetWeather","Grab","Water","UBAC","120301031007","Bachman Branch-Elm Fork Trinity River","8900 Midway","2011-05-11 00:00:00","2011-05-11 18:15:00","huajun.chen","2011-05-11 00:00:00","","","","","","2011-05-13 00:00:00","","4","Normal","True","","","","","","","XENCO","","","","","","","{248EB803-AE7A-4E4B-BB2E-A5DA83B6F6F5}"
"1021","20110520-JP-2 E1","MLCD-1","","","LocalWetWeather","Composite","Water","MLCD","120301020706","Delaware Creek-West Fork Trinity River","6000 W Jefferson Blvd","2011-05-20 00:00:00","2011-05-20 09:45:00","jonathan.pasley","2011-05-20 00:00:00","","","","","","2011-05-20 00:00:00","","6","Normal","True","","","","","","","TTI","","","","","","","{C2EFFBDA-1A54-4786-A385-2F380DA04F01}"
"1022","20110520-JP-1 E1_dup","MLCD-1","","","LocalWetWeather","Grab","Water","MLCD","120301020706","Delaware Creek-West Fork Trinity River","6000 W Jefferson Blvd","2011-05-20 00:00:00","2011-05-20 10:00:00","jonathan.pasley","2011-05-20 00:00:00","","","","","","2011-05-20 00:00:00","","7","Normal","True","","","","True","","","TTI","","","","","","","{6B293B51-E4BA-4ED0-B0AC-AC2CD18CAEB1}"
"1023","20110520-JP-1 E1","MLCD-1","","","LocalWetWeather","Grab","Water","MLCD","120301020706","Delaware Creek-West Fork Trinity River","6000 W Jefferson Blvd","2011-05-20 00:00:00","2011-05-20 09:45:00","jonathan.pasley","2011-05-20 00:00:00","","","","","","2011-05-20 00:00:00","","7","Normal","True","","","","","","","TTI","","","","","","","{693F8796-37FF-4177-AE51-63FEA0BD10B5}"
"1024","20110520-JP-3 E1","UMWR-1","","","LocalWetWeather","Grab","Water","UMWR","120301050105","White Rock Creek-White Rock Lake","8000 Greenville Ave","2011-05-20 00:00:00","2011-05-20 20:00:00","jonathan.pasley","2011-05-20 00:00:00","","","","","","2011-05-20 00:00:00","","7","Normal","True","","","","","","","TTI","","","","","","","{82B90D5D-275D-4A30-B47A-29D2B923AE60}"
"1025","20110520-JP-4 E1","UMWR-1","","","LocalWetWeather","Composite","Water","UMWR","120301050105","White Rock Creek-White Rock Lake","8000 Greenville Ave","2011-05-20 00:00:00","2011-05-20 20:05:00","jonathan.pasley","2011-05-20 00:00:00","","","","","","2011-05-20 00:00:00","","6","Normal","True","","","","","","","TTI","","","","","","","{1C3B3831-7C06-47D6-91B6-342D298CF14B}"
"1041","20110621-JP-1 E1","UTEN-1","","","LocalWetWeather","Grab","Water","UTMC","120301050201","Headwaters  Fivemile Creek","400 Bluegrave","2011-06-21 00:00:00","2011-06-21 05:55:00","jonathan.pasley","2011-06-21 00:00:00","","","","","","2011-06-21 00:00:00","","8","Normal","True","","","","","","","XENCO","","","","","","","{3781DF6C-1BDF-469C-8D31-821AB9E5DF60}"
"1042","20110621-JP-2 E1","UTEN-1","","","LocalWetWeather","Composite","Water","UTMC","120301050201","Headwaters  Fivemile Creek","400 Bluegrave","2011-06-21 00:00:00","2011-06-21 06:20:00","jonathan.pasley","2011-06-21 00:00:00","","","","","","2011-06-21 00:00:00","","8","Normal","True","","","","","","","XENCO","","","","","","","{3B9B7D4E-134B-4DC9-A17C-8E250AC41CF9}"
"1043","20110621-JP-4 E1","UFIV-1","","","LocalWetWeather","Composite","Water","UFMC","120301050108","Five Mile Creek-Trinity River","5400 Lancaster Rd","2011-06-21 00:00:00","2011-06-21 09:20:00","jonathan.pasley","2011-06-21 00:00:00","","","","","","2011-06-21 00:00:00","","8","Normal","True","","","","","","","XENCO","","","","","","","{F7898604-91DF-4E64-A665-EF5F66F687D9}"
"1044","20110621-JP-5 E1","LWRC-1","","","LocalWetWeather","Grab","Water","LWRC","120301050106","City of Dallas-White Rock Creek","5100 C.F. Hawn Frwy","2011-06-21 00:00:00","2011-06-21 10:05:00","jonathan.pasley","2011-06-21 00:00:00","","","","","","2011-06-21 00:00:00","","8","Normal","True","","","","","","","XENCO","","","","","","","{12F12F22-172D-4292-813E-343ABD3A9CD7}"
"1045","20110621-JP-6 E1","LWRC-1","","","LocalWetWeather","Composite","Water","LWRC","120301050106","City of Dallas-White Rock Creek","5100 C.F. Hawn Frwy","2011-06-21 00:00:00","2011-06-21 10:17:00","jonathan.pasley","2011-06-21 00:00:00","","","","","","2011-06-21 00:00:00","","8","Normal","True","","","","","","","XENCO","","","","","","","{E736C818-3417-45AC-B888-5C708D0DDDAE}"
"1046","20110621-JP-3 E1","UFIV-1","","","LocalWetWeather","Grab","Water","UFMC","120301050108","Five Mile Creek-Trinity River","5400 Lancaster Rd","2011-06-21 00:00:00","2011-06-21 09:05:00","jonathan.pasley","2011-06-21 00:00:00","","","","","","2011-06-21 00:00:00","","8","Normal","True","","","","","","","XENCO","","","","","","","{FDA56FA4-028F-4A39-BA27-EF60A001539A}"
"1081","20110711-JH-1","new-a","","","Bioassessment","Grab","Water","NEWT","120301050108","Five Mile Creek-Trinity River","9500 julius schepp","2011-07-11 00:00:00","2011-07-11 10:30:00","jennifer.harvey","2011-07-11 00:00:00","","","","","","2011-07-11 00:00:00","","5","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{691A9C6A-2DBD-42D5-8869-83A284587C78}"
"1082","20110711-JH-2","pra-a","","","Bioassessment","Grab","Water","PRAI","120301050203","Upper Prairie Creek-Trinity River","8484 fireside drpp","2011-07-11 00:00:00","2011-07-11 11:50:00","jennifer.harvey","2011-07-11 00:00:00","","","","","","2011-07-11 00:00:00","","5","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{1DEE8229-B0CF-447D-81E2-B69AD5D315BE}"
"1083","20110712-JH-1","ten-b","","","Bioassessment","Grab","Water","UTEN","120301050201","Headwaters  Fivemile Creek","202 houston school","2011-07-12 00:00:00","2011-07-12 12:15:00","jennifer.harvey","2011-07-12 00:00:00","","","","","","2011-07-12 00:00:00","","5","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{783D8026-E02B-4551-B7DD-A224F746B6BB}"
"1084","20110712-JH-2","ten-a","","","Bioassessment","Grab","Water","LTEN","120301050202","Deep Branch-Tenmile Creek","Exit 267 I-45 FWY ","2011-07-12 00:00:00","2011-07-12 14:20:00","jennifer.harvey","2011-07-12 00:00:00","","","","","","2011-07-12 00:00:00","","5","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{4CDAB201-1F0C-4037-BE69-2D455080217E}"
"1085","20110712-JH-2_dup","ten-a","","","Bioassessment","Grab","Water","LTEN","120301050202","Deep Branch-Tenmile Creek","Exit 267 I-45 FWY ","2011-07-12 00:00:00","2011-07-12 14:30:00","jennifer.harvey","2011-07-12 00:00:00","","","","","","2011-07-12 00:00:00","","5","Normal","True","jennifer.harvey","","","True","","","XENCO","","","","","","","{17A16965-5101-44E2-AFDD-8728ED7CB2C7}"
"1086","20110713-JH-1","bab-b","","","Bioassessment","Grab","Water","LBAC","120301031007","Bachman Branch-Elm Fork Trinity River","9100 midway rd(Cum","2011-07-13 00:00:00","2011-07-13 09:35:00","jennifer.harvey","2011-07-13 00:00:00","","","","","","2011-07-13 00:00:00","","5","Normal","True","","","","","","","XENCO","","","","","","","{FFED202B-2F02-45EC-9B43-33E57383CB08}"
"1087","20110713-JH-2","ceb-b","","","Bioassessment","Grab","Water","DAEB","120301050101","Headwaters Turtle Creek","260 E ClarendonCum","2011-07-13 00:00:00","2011-07-13 11:00:00","jennifer.harvey","2011-07-13 00:00:00","","","","","","2011-07-13 00:00:00","","5","Normal","True","jennifer.harvey","","","","","","XENCO","","","","","","","{CB961735-B704-4470-97D4-90DC0EFB43D7}"
